title,news,img-url,category,summery,opinion
Pakistan facilitating peace process with Taliban to bring peace in Afghanistan: FO,"
ISLAMABAD (Web Desk) - Foreign Office Spokesperson Dr. Muhammad Faisal says Pakistan has been facilitating the peace process with the Taliban in good faith and as a shared responsibility of the international community to bring peace, prosperity and stability in Afghanistan and the entire region.
Addressing weekly briefing in Islamabad today, he said Prime Minister Imran Khan is committed with Afghan peace process.
The Spokesperson said matters related to the visit of Taliban as announced by the Prime Minister are being finalized.
Responding to a question about any progress on US President Donald Trump s offer of mediation on Kashmir issue, the Spokesperson said Pakistan looks forward to efforts of the international community for resolution of the Kashmir dispute.
He said Foreign Office summoned the Indian High Commissioner on 28th and 30th of the last month, and today as well and lodged a strong protest over the ceasefire violations.
There are reports that ten thousand additional Indian forces personnel are being deployed in occupied Kashmir, which will further deteriorate human rights situation in the held territory.",https://img.dunyanews.tv/news/2019/August/08-01-19/news_big_images/503219_87463109.jpg,pakistan,"Responding to a question about any progress on US President Donald Trump s offer of mediation on Kashmir issue, the Spokesperson said Pakistan looks forward to efforts of the international community for resolution of the Kashmir dispute.",neutral
Majority of senators believe in transparency: Dr Firdous ,"
ISLAMABAD (Dunya News) – Special Assistant to Prime Minister on Information and Broadcasting Dr Firdous Ashiq Awan on Thursday has said that majority of the senators believe in transparency of the system.
Talking to media, Dr Firdous pointed out at the voting of no-confidence motion against Senate Chairman Sadiq Sanjrani and said that whatever is going on in the upper house has nothing to do with democracy.
Lauding Prime Minister (PM) Imran Khan’s steps for economy, she said that the premier is leading the country towards development while keeping in view the national interest.  
Earlier, Dr Firdous said  that Pakistan Muslim League-Nawaz (PML-N) leaders have no courage to listen to the truth of Special Assistant on Accountability Shahzad Akbar.
She said that PML-N leaders are resorting to mud-slinging on Shahzad Akbar as they have no evidence to prove their innocence. Those who plundered the national exchequer will have to face accountability in Naya Pakistan, she asserted.
The special assistant said that PML-N spokespersons can never turn black into white. 
 ",https://img.dunyanews.tv/news/2019/August/08-01-19/news_big_images/503204_42507702.jpg,pakistan,"
ISLAMABAD (Dunya News) – Special Assistant to Prime Minister on Information and Broadcasting Dr Firdous Ashiq Awan on Thursday has said that majority of the senators believe in transparency of the system.",neutral
Senate Chairman Sadiq Sanjrani survives no-confidence motion in surprise victory,"
ISLAMABAD (Dunya News) – The no-trust motion against Senate Chairman Sadiq Sanjrani, tabled by Leader of the Opposition in the Senate Raja Zafarul Haq, has been rejected on Thursday. 
A total of 100 senators, including Sanjrani, took part in the polling process. Senator Javed Abbasi was appointed the polling agent on behalf of the opposition, while Senator Nauman Wazir was appointed on behalf of the government.
50 votes were received in favour of the no-confidence motion while the opposition needed at least 53 votes for the resolution to be passed but fell just three votes short of victory. 
The upper House took up the first-ever no-trust motions against its chairman and deputy chairman, both of them cannot chair the session according to the rules; hence President Arif Alvi had nominated Barrister Muhammad Ali Saif of the Muttahida Qaumi Movement (MQM) to chair the session.
64 senators stood up in support of the motion to table the no-confidence resolution when Barrister Saif directed senators, who were in favour of the resolution, to stand on their seats.
The opposition nominated Javed Abbasi while members supporting Sanjrani nominated Noman Wazir as their polling agents.
The total number of Senate seats is 104. There are currently 103 senators as Ishaq Dar of the PML-N is yet to take oath. 
After disqualification of former premier Nawaz Sharif, 13 senators were elected as independent candidates, including Mushahid Hussain Syed, Sabir Shah, Mehmood-ul-Hasan, Rana Maqbool, Asad Ashraf, Asif Kirmani, Asad Junejo, Musadiq Malik, Shaheen Khalid Butt, Nizhat Sadiq, Kamran Micheal, Shameem Afridi and Hafiz Abdul Kareem.
The PTI has 14 senators, and its ally, the Balochistan Awami Party (BAP) of which Sanjrani is a member, has eight. Seven senators from the erstwhile Fata are also with the ruling party. Its other allies include, the Muttahida Qaumi Movement (MQM) with five senators and the Pakistan Muslim League-Functional (PML-F) and the Balochistan National Party-Mengal (BNP-M) with one senator each.
The PML-N has 30 senators, 17 of them were independents who had later joined the party. The PPP has 20, the NP has five, the JUI-F and the PkMAP have four each, the Jamaat-e-Islami has two and ANP has one.
Yesterday, Sanjrani refuted opposition’s demand of resigning from his post voluntarily and appears determined to fight till the end.
Sources familiar with the matter told the media that both, the government and the opposition were confident in line with their conscience.
PTI senator Shibli Faraz has asserted that the opposition’s attempt to de-seat Sanjrani would fail as the chairman would gain 60 votes in today’s balloting.
“Majority of the opposition members is not trusting Hasil Bizenjo [as the proposed leader of the upper House],” he said in his talk to the media.
Minister for Science and Technology Fawad Chaudhary took to Twitter today, and stated that it was an unfortunate that the no-confidence motion against chairman of the Senate was being held.
“This is a part of Abu Bachao campaign,” he said, adding that the premier and the government would remain unaffected by the motion; however the upper House of the parliament would be affected.
“Sadiq Sanjrani had maintained neutrality in the Senate, which would be influenced regardless of whosoever wins as the result of the no-trust motion,” he added.
The secretariat of the Senate sent a message to all the members detailing the procedure for voting under Rule 12(10) of the rules of procedure and conduct of business in the Senate, 2012.
It says that voting on the resolution(s) shall be secret and each member will have one vote only.
The members will not be allowed to carry mobile phones and cameras inside the polling booth. Disclosing the ballot paper or taking its photograph is strictly prohibited.
Rule 12(9) says the Senate shall not be adjourned until the motion for leave is disposed of or, if leave is granted, the resolution has been voted upon.
Rule 12(12) reads: “The Chairman or, as the case may be, Deputy Chairman, shall stand removed from his office on the resolution being passed by a majority of the total membership of the Senate.”
The presiding officer will announce the success or failure of no confidence move after counting. Voting on the move against Deputy Chairman Saleem Mandviwala would also follow the same procedure.
Yesterday, the Rehbar Committee of the joint opposition held meetings in Islamabad to finalise its strategy for the no-confidence motion against the sitting chairman.
Speaker National Assembly Asad Qaiser met Sadiq Sanjarani and expressed full support against opposition’s no confidence move. The leader of the house Shibli Faraz said the opposition’s demand for the resignation of Chairman Sadiq Sanjrani was “not a good tradition.”
Sanjarani passed his last day in his office and shifted all important files to his personal residence.
The leader of the opposition in the Senate Raja Zafar-ul-Haq and National Party’s (NP) Hasil Bizenjo addressed a luncheon hosted by Pakistan Peoples Party (PPP) chairman Bilawal Bhutto Zardari.
Bilawal said it would be wise for the Senate chairman to resign before the vote so he could save himself from the embarrassment.
“He will be sent packing tomorrow in any case. We have enough numbers to de-seat him,” he added.
The opposition took the decision to remove the chairman of the upper house at a multi-party conference on June 26. The move is meant to be the first step towards mounting pressure on the PTI-led coalition government.
On July 9, the opposition parties submitted a resolution signed by 38 senators to the secretary of the Senate.
On last Tuesday, a Senate’s session was postponed after a short resumption as demanded by the opposition. Raja Zafarul Haq stated that the voting on a no-confidence motion filed against Sanjrani would be held on August 1. He demanded delay in the proceedings of the upper House due to voting on August 1.
Sanjrani had said that no-confidence motion against the chairman Senate could not be moved in the requisition session of the Senate and it can only be held in a regular session summoned by president.
In this regard, President Arif Alvi summoned the session of the upper House on August 1 at 2pm.",,pakistan,The opposition took the decision to remove the chairman of the upper house at a multi-party conference on June 26.,neutral
"Govt. addressing malnutrition, adulteration issues: PM","
ISLAMABAD (APP):Prime Minister Imran Khan Wednesday said the government was focusing to address the issue of malnutrition and adulteration which were adversely impacting the growth of young population.
The prime minister was talking to UN Resident Coordinator Neil Buhne who called on him here at the PM office.
Minister for Economic Affairs Division Muhammad Hammad Azhar and Special Assistant Dr. Sania Nishtar were also present during the meeting, PM office media wing said in a press release. ",https://img.dunyanews.tv/news/2019/August/08-01-19/news_big_images/503195_16510683.jpg,pakistan,"Minister for Economic Affairs Division Muhammad Hammad Azhar and Special Assistant Dr. Sania Nishtar were also present during the meeting, PM office media wing said in a press release.",neutral
Ramzan Sugar Mills case: Judicial remand of Hamza Shahbaz extended till Aug 9,"
LAHORE (Dunya News) – An accountability court has on Thursday extended Leader of the Opposition in the Punjab Assembly Hamza Shahbaz’s judicial remand till August 9.
The accountability judge allowed Hamza Shahbaz to express his views. The Pakistan Muslim League-Nawaz (PML-N) leader maintained that the National Accountability Bureau (NAB) cannot prove any corruption charges against him.
“The anti-corruption watchdog will not be able to succeed in proving any corruption charges against me till the Day of Judgment. I will apologize to the nation as well as the court if proven guilty,” Hamza Shahbaz affirmed.
On the other hand, Leader of the Opposition in the National Assembly Shehbaz Sharif sought exemption from court appearance today. The PML-N president took the stance in his petition that he is busy in Senate election and cannot appear before the court. ",https://img.dunyanews.tv/news/2019/August/08-01-19/news_big_images/503193_50699985.jpg,pakistan,"On the other hand, Leader of the Opposition in the National Assembly Shehbaz Sharif sought exemption from court appearance today.",neutral
ECP publishes names of winning candidates from erstwhile fata,"
ISLAMABAD (Dunya News) – The Election Commission of Pakistan (ECP) on Thursday published an official Gazette, on its website, of the names of 16 winning candidates in the first-ever provincial elections held in Khyber Pakhtunkhwa s merged tribal districts.
The independent candidates are directed to choose any political party of their choice within three days and submit their affidavit and party letter.
Polls were held on July 20 for 16 general seats in seven tribal districts and six towns of KP.
The ruling Pakistan Tehreek-e-Insaf (PTI) secured five seats, JUI-F won three, Awami National Party (ANP) and Jamat-e-Islami (JI) won one seat each, whereas independent candidates grabbed six seats.
In all, 285 candidates, including two women, contested the 16 general seats of the KP Assembly to represent three constituencies each of Bajaur (PK-100 to 102) and Khyber (PK-105 to 107) districts; two each of Mohmand (PK-103 and 104), Kurram (PK-108 and 109), North Waziristan (PK-111 and 112) and South Waziristan (PK-113 and 114); and one each of Orakzai (PK-110) district and ex-Frontier regions (PK-115).
 ",https://img.dunyanews.tv/news/2019/August/08-01-19/news_big_images/503179_75658117.jpg,pakistan,"
ISLAMABAD (Dunya News) – The Election Commission of Pakistan (ECP) on Thursday published an official Gazette, on its website, of the names of 16 winning candidates in the first-ever provincial elections held in Khyber Pakhtunkhwa s merged tribal districts.",neutral
LNG case: NAB court extends physical remand of Shahid Khaqan Abbasi till August 15,"
ISLAMABAD (Dunya News) – Accountability court on Thursday has extended physical remand of former premier and Pakistan Muslim League-Nawaz (PML-N) senior leader Shahid Khaqan Abbasi till August 15 in liquefied natural gas (LNG) scandal. 

During the hearing headed by justice Muhammad Bashir, the National Accountability Bureau (NAB) produced Shahid Khaqan Abbasi before the court and requested for his physical remand. 

Earlier on July 18, 2019, the anti-corruption watchdog had arrested Shahid Khaqan Abbasi near Thokar Niaz Baig toll plaza in connection with an ongoing investigation into the ‘illegal’ award of the LNG contract with Qatar.

The apex court on September 10, 2018 directed the NAB to complete the inquiry against Abbasi and others for the alleged corruption in the LNG contract.

In June 2018, the NAB approved inquiry against former premier Nawaz Sharif and Abbasi. As the minister for petroleum and natural resources, he has been accused of granting contract on LNG Terminal to ETPL, Tri-partial agreement, LSA with EETPL and LNG import from Qatar etc.

It was also observed that this contract had allegedly caused a loss of billions of rupees to the national exchequer.
In January, the NAB interrogated former finance minister Miftah Ismail in the same case.
According to NAB documents, the contract for the LNG import and distribution was awarded to the Elengy Terminal, a subsidiary of Engro, in 2013 in violation of the Public Procurement Regulatory Authority (PPRA) rules and relevant laws.   ",,pakistan,"The apex court on September 10, 2018 directed the NAB to complete the inquiry against Abbasi and others for the alleged corruption in the LNG contract.",neutral
PML-N strongly condemns hike in petrol prices,"
ISLAMABAD (Dunya News) – Pakistan Muslim League-Nawaz (PML-N) leader Marriyum Aurangzeb on Thursday has strongly condemned Rs5.15 hike in petrol prices.
In a statement, the PML-N spokesperson said that incumbent Prime Minister (PM) Imran Khan had vowed to reduce the prices of petrol at Rs46 per liter. Whose pocket is being filled with this additional ‘looted money per liter’, asked Marriyum.
She further asserted that Imran Khan has raised the prices of everything that the people are unable to get food items.
The PML-N leader went on to say that the consequences of the International Monetary Fund’s (IMF) bailout package have started to emerge. 

The reaction came after government increased petrol prices by Rs5.15 per litre for the month of August 2019.
According to notification that was issued on Sunday, the prices of kerosene oil and light diesel oil were increased by Rs5.38 and Rs8.90 respectively.",,pakistan,The reaction came after government increased petrol prices by Rs5.15 per litre for the month of August 2019.,neutral
Hike in petroleum products price challenged in LHC,"
LAHORE (Dunya News) – The significant hike in the prices of petroleum products has been challenged in the Lahore High Court (LHC) on Thursday.
The plea, filed by advocate Azhar Siddiq, has made federal government, Ogra, petroleum ministry and others party by mentioning that the increase in the prices was illegal as the matter was already under hearing in the court.
The plaintiff further requested the court to issue restraining order on the implementation of new prices until ruling on the pending applications with the court.
Moreover, it added that the government has not taken approval from the cabinet before imposing new prices.
Earlier on Wednesday, the government increased petroleum products prices for the month of August 2019.
According to a notification issued, petrol price has been increased by Rs5.15 per litre, whereas the price of High Speed Diesel was also increased by Rs5.65.
The prices of kerosene oil and light diesel oil were increased by Rs5.38 and Rs8.90, respectively.",,pakistan,"Earlier on Wednesday, the government increased petroleum products prices for the month of August 2019.",neutral
Senate voting on no-trust motion 'detrimental for democracy': Sh Rasheed,"
ISLAMABAD (Dunya News) – Federal Minister for Railways Sheikh Rasheed Ahmad has asserted that whosoever wins in the voting of no-trust motion against Senate chairman, it would be a loss to democracy in the state.
“The government [still] has amulets which had been used before,” he said, adding that Jamiat Ulema-e-Islam-Fazl (JUI-F) chief Fazlur Rehman has been playing foul, and would achieve nothing from it.
The railways minister emphasised on his full support for Punjab Chief Minister Usman Buzdar as “bureaucracy has not been working [correctly].”
“[New] laws need to be formulated for government officers under NAB laws as government officers are afraid by those laws,” he said.
Ahmed said Prime Minister Imran Khan would complete his term of five years and no horse-trading was being done in the election of the Senate chairman.",https://img.dunyanews.tv/news/2019/August/08-01-19/news_big_images/503171_56348972.jpg,pakistan,Ahmed said Prime Minister Imran Khan would complete his term of five years and no horse-trading was being done in the election of the Senate chairman.,neutral
