title,news,img-url,category,summery,opinion
,,,,,
Court orders police to present challan into Mureed Abbas killing on August 9,"
KARACHI: City’s local court on Friday ordered police to present challan into the killing of anchorperson Mureed Abbas on August 9, ARY News reported.
Investigation Officer (IO) of the case at the outset of the case’s hearing in the court today, asked the court to grant a week to file challan in the case.
“Challan has been sent to the higher officials for the approval”, he continued.

 The court accepting police’s plea granted a week time to police for filing challan in the case and adjourned the hearing until August 9.
On July 9, a suspect, Atif gunned down Mureed Abbasi, 34 and Khizar Hayat, 45 over a monetary dispute in Defence Housing Authority (DHA) and then attempted suicide.
He was admitted to a private hospital in Clifton and is now said to be recuperating from his bullet injuries.
On Thursday, Additional Inspector General (AIG) Karachi Ghulam Nabi Memon had said that Mureed Abbas’ family is receiving threats.
Speaking to media, he had said directives have been issued for provision of protection to the family of the deceased anchorperson.
The Karachi police chief said the police received a complaint about Mureed Abbas’ family receiving threats, after which directions were issued for provision of necessary security to the family.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/07/mureed-abbas-2-750x369-750x369.jpg,PAKISTAN,"The Karachi police chief said the police received a complaint about Mureed Abbas’ family receiving threats, after which directions were issued for provision of necessary security to the family.",neutral
,,,,,
Met Office forecast partly cloudy weather with likely drizzle in Karachi,"
KARACHI: Pakistan Meteorological Department has forecast partly cloudy weather in Karachi and chances of drizzle at late night or early morning on Friday.
According to ARY News, maximum temperature in the port city will remain between 31-33 degree Celsius today with humidity in the morning between 70-80 percent and in evening 60-70 pct.
In other parts of Pakistan, Rain or wind-thunderstorm with isolated heavy falls are expected in upper Punjab including Rawalpindi, Gujranwala, Lahore, Sargodha and Faisalabad divisions, Hazara division in Khyber Pakhtunkhwa and Islamabad and Kashmir today.

 Rainfall also expected today at isolated places in Zhob, Kalat, Sukkur, Mirpurkhas, D.G.Khan, Multan, Bahawalpur, Sahiwal, D.I.Khan, Bannu, Peshawar, Kohat, Malakand divisions and Gilgit-Baltistan, weather forecast said.
Yesterday widespread rains, wind-thunderstorm with isolated heavy falls occurred in Rawalpindi, Gujranwala, Lahore, Sargodha, Malakand, Hazara, D.I.Khan divisions, Islamabad and Kashmir, while at isolated places in Multan, D.G.Khan, Bahawalpur, Kalat and Zhob divisions.
Maximum temperatures recorded at Nokkundi, Dalbandin 46°C, Sibbi 44°C, Chillas, Sukkur 43°C on Thursday.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/07/Karachi-750x369.jpg,PAKISTAN,"
KARACHI: Pakistan Meteorological Department has forecast partly cloudy weather in Karachi and chances of drizzle at late night or early morning on Friday.",neutral
,,,,,
Jam Kamal congratulates Sanjrani on failure of no-confidence motion,"
QUETTA: Balochistan Chief Minister Jam Kamal Khan has congratulated Senate Chairman Sadiq Sanjrani over the failure of no-trust motion against him, ARY News reported on Friday.
This he stated while addressing in a dinner ceremony held to celebrate Sanjrani’s victory in Quetta. The ceremony was attended by Speaker National Assembly, Asad Qaiser, Deputy Speaker Qasim Suri, Federal Ministers, Chaudhry Ghulam Sarwar, Zubaida Jalal and Information Assistant to the PM, Firdous Ashiq Awan.
He said the day will always be remembered as the bright day of the country’s political history, saying that people of the province and Balochistan Awami Party (BAP) thanked senators who supported Senate Chairman Sanjrani and stood with the stability of democracy.

 Kamal also lauded the role of allied parties for failing no-confidence move against chairman Senate.
On Thursday, Sadiq Sanjrani survived no-confidence move against him.
As per details, 50 votes had been cast in favour of the no-confidence motion against Sanjrani, thus the resolution was not adopted in the Senate.
Read More:Sadiq Sanjrani survives no-confidence motion in Senate
The secret voting on the no-confidence motion took place in the upper house. A total of 53 votes were required to remove the Senate chairman.
At the onset of the session, 64 senators had favoured the no-trust motion tabled by Raja Zafarul Haq, following which, the polling kicked off in the Senate.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/06/Balochistan-CM-Jam-Kamal-Khan-1-750x369.jpg,PAKISTAN,Kamal also lauded the role of allied parties for failing no-confidence move against chairman Senate.,neutral
,,,,,
Ruet-e-Hilal Committee to meet today for Zilhajj moon sighting,"
KARACHI: The Central Ruet-e-Hilal Committee will meet on Friday (today) for sighting the Zilhajj moon, ARY News reported.
The committee will meet at Met Complex in Karachi after Asar prayers.
Zonal Ruet-e-Hilal Committees would also meet in Lahore, Quetta and Peshawar, while the district bodies will meet at their respective headquarters on the day.

 Pakistan Meteorological Department (PMD) had earlier predicted sighting of crescent of Zil Hajj 1440 A.H on August 02 evening, as the moon will born on August 1 at 8:12 am.
A PMD spokesperson said the Met experts have high expectations for crescent sighting on August 02 despite the weather will be partly cloudy in most parts of the country.
The age of moon would be 35 hours and 29 minutes while it will be sighted during visibility window of 53 minutes after the sunset on the day.
Millions of Muslims perform Hajj pilgrimage at Makkah in Kingdom of Saudi Arabia.
Eid Al Adha, falls on the 10th day of Zil-Hajj. Eid Al Adha this year will fall on Monday, August 12, if the moon sighted on Friday, 2nd August.
Eid Al Adha, also known as the Feast of Sacrifice, is one of two Eid festivals celebrated by Muslims to commemorate Prophet Ibrahim’s willingness to sacrifice his son to the God. Traditionally marked by the slaughter of animals, whose meat is shared with family members and the poor.
The faithful slaughter their sacrificial animals in remembrance of the tradition of Prophet Ibrahim, which continues for three days of Eid.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/07/Zil-Hajj-moon-1-750x369.jpg,PAKISTAN,"Eid Al Adha this year will fall on Monday, August 12, if the moon sighted on Friday, 2nd August.",neutral
,,,,,
Hasil Bizenjo’s remarks about national institution unfounded: DG ISPR,"
RAWALPINDI: Director General Inter-Services Public Relations (ISPR) Major General Asif Ghafoor has turned down Senator Mir Hasil Bizenjo’s remarks that hinted at the manipulating the results of the no-confidence motion against the Senate chairman.
The military spokesperson in his tweet stated, “Remarks by Senator Mir Hasil Bizenjo implicating head of national premier institution are unfounded.”

Remarks by Senator Mir Hasil Bizenjo implicating head of national premier institution are unfounded. The tendency to bring entire democratic process into disrepute for petty political gains doesn’t serve democracy.
— DG ISPR (@OfficialDGISPR) August 1, 2019

 “The tendency to bring entire democratic process into disrepute for petty political gains doesn’t serve democracy,” he continued.
On Thursday, Sadiq Sanjrani survived no-confidence move against him.
As per details, 50 votes had been cast in favour of the no-confidence motion against Sanjrani, thus the resolution was not adopted in the Senate.
Read More:Sadiq Sanjrani survives no-confidence motion in Senate
The secret voting on the no-confidence motion took place in the upper house. A total of 53 votes were required to remove the Senate chairman.

At the onset of the session, 64 senators had favoured the no-trust motion tabled by Raja Zafarul Haq, following which, the polling kicked off in the Senate.

Comments comments  ",https://arynews.tv/wp-content/uploads/2019/02/DG-ISPR-01-750x369.jpg,PAKISTAN,"
RAWALPINDI: Director General Inter-Services Public Relations (ISPR) Major General Asif Ghafoor has turned down Senator Mir Hasil Bizenjo’s remarks that hinted at the manipulating the results of the no-confidence motion against the Senate chairman.",neutral
