title,news,img-url,category,summery,opinion
NAB recovers Rs1 billion in Punjab companies case,"
 LAHORE (Dunya News) – NAB has recovered Rs 1 billion in Punjab 56 companies’ mega scandal.
According spokesperson of NAB, the chairman of accountability watchdog has submitted the documents of confiscated propert to Punjab government.
He added that all the money recovered from companies scandal has been added to provincial exchequer.
CJP Nisar forwards Punjab companies scam case to NAB
Former Chief Justice of Pakistan (CJP) Mian Saqib Nisar had forwarded the case pertaining to Punjab companies scam to National Accountability Bureau (NAB).
During the hearing at Supreme Court (SC) Lahore registry, the top judge said that he will force the corrupt leaders to return money of the nation.
 ",https://img.dunyanews.tv/news/2019/April/04-16-19/news_big_images/487304_91734381.jpg,pakistan,"According spokesperson of NAB, the chairman of accountability watchdog has submitted the documents of confiscated propert to Punjab government.",neutral
"Pakistani students bag top positions in music, speech competitions held in Beijing","
BEIJING (APP) - Pakistani students clinched top positions in music, speech and photography competitions, organized within the framework of the 2nd Silk Road and Young Dreams, an international gala event of youth exchange.
Over 30 young Pakistani students from educational institutions in China and Pakistan took part in the competitions and elegantly displayed their talents in the three-day event.
Nearly 300 contestants from 70 countries in five continents of Europe, Asia, Africa, America and Oceania participated in the event, organized to welcome the forthcoming Belt and Road Forum for International Cooperation, scheduled to be held later this month.
The students of Pakistan Embassy College Beijing (PECB) won five positions in speech, photography and music categories of the
competitions.
Abdul Rehman, a talented and young student of PECB, secured the first position in the speech contest while Islam Khallili and Thembekeli secured third place in the photography competition. In the music category, Maaz Ali and Fareen Maharver were declared winners of the third position.
Bilawal Khan, Istahsan Arshad and Ronica Wilson, students of the
Superior College Lahore, who were sponsored by their college to
participate in the contest, secured top slots in different categories of music competitions.
Cultural Counselor, Raheel Tariq, who provided a stage for Pakistani youth to shine with talents and potentials at the second edition of Silk Road and Young Dreams, informed that most of the students, participating in the event, were studying in China while some contestants came from Pakistan.
“We apprised our students in China particularly studying in educational institutions in Beijing, about the event and invited them to participate,” he added.
In the beginning, they were reluctant to participate but the Pakistan Embassy fully encouraged them to take part in five categories i.e. music, speech, photography, arts and electronic gaming.
Commending the young student of PECB, who obtained the first position in speech competition, he said his success was a result of hard work and commitment besides the efforts of his teachers and parents.
Raheel Tariq remarked that participation of Pakistani youth in the
contest would further cement cultural ties and promote people-top-people contacts between the all-weather friends and iron brothers.
“This international event has also provided our youths with an ample opportunity to display their talent at the international level and introduce Pakistani culture to the international audience,” he added.
The first position holder, Abdul Rehman said although he was not expecting such a big win and he was able to win the first position just with the blessing of Allah Almighty, prayers of his parents and efforts of teachers.
Giving a message to other fellow Pakistani youth, he emphasized that reading, writing and practice were key ingredients for his success. He dedicated the award to his father and his teachers.
Bilawal Khan, who was very excited after winning the trophy in the singing competition, said it was really an amazing experience to participate and perform along with young talents of other countries.
“I have also got an opportunity to meet people from Russia, Sri Lanka, Ukraine and several other countries and interact with them to learn more about the music,” he added.
The event was organized by Silk Road Cities Alliance, China Friendship Foundation for Peace and Development, Beijing Belt and Road Cooperative Community, and Chongyang Research Institute for Financial Studies of Renmin University of China. More than 40 diplomats in China from Pakistan, Bahrain, Greece, Croatia, Bulgaria, Sri Lanka and the Maldives were present to cheer for their outstanding players.
The cultural figures, business leaders, media representatives and other distinguished guests also joined to share knowledge and dreams.
Compared with the previous event, this year, more contestants took part in competitions. On the basis of the music, speech and photography in the last event, three activities of sand painting creation, essay exchange and e-sports were added to event this year.
At the end, a prize distribution ceremony was held in which winners, runners-up and third position holders in different categories of music, speech, photography and sand painting competitions were awarded trophies and certificates.
Youths from different countries presented cultural performance to showcase their respective cultures and traditions. However, Pakistani youths stunned the audience with their impressive musical performance and patriotic songs. ",https://img.dunyanews.tv/news/2019/April/04-16-19/news_big_images/487288_59382437.jpg,pakistan,Over 30 young Pakistani students from educational institutions in China and Pakistan took part in the competitions and elegantly displayed their talents in the three-day event.,neutral
"Imam-e-Kaaba meets Pervaiz Elahi, expresses good wishes for country","
LAHORE (Dunya News) - Imam-e-Kaaba Dr Abdullah Awad Al Juhany who is on Pakistan’s visit said his best wishes for country’s progress. He said Pakistan is like second home.
Imam-e-Kaaba arrived in Lahore from Islamabad and met acting Governor and Speaker Punjab Assembly Pervaiz Elahi in Governor House.
He expressed best wishes for Pakistan and Pakistani nation.
Pervaiz Elahi thanked Imam-e-Kaaba for paying visit to Lahore and said both Pakistan and Saudi Arabia are bonded in long-term ties.
Imam-e-Kaaba Dr Abdullah Awad Al Juhany also led Asar prayer at Markaz Ahl-e-Hadees.
Imam-e-Kaaba Dr Abdullah Awad Al Juhany will lead Maghrib prayer at Badshahi Mosque and Isha Prayer at Jamia Ashrafia in Lahore today, radio Pakistan said.
In this connection, Provincial Auqaf Minister Peer Syed Saeed ul Hassan Shah directed concerned officials to make all necessary arrangements and ensure smooth flow of traffic in the concerned areas as well, for public convenience.",https://img.dunyanews.tv/news/2019/April/04-16-19/news_big_images/487284_67334596.jpg,pakistan,"
LAHORE (Dunya News) - Imam-e-Kaaba Dr Abdullah Awad Al Juhany who is on Pakistan’s visit said his best wishes for country’s progress.",neutral
UN asks Pakistan more officers in peacekeeping mission,"
(ISLAMABAD) – Interior Minister Shehryar Khan Afridi has demanded the release list of best and active police officers for United Nation (UN) peacekeeping mission on April 16. The High Court rejected the previous list of recruitment over the charges of nepotism.
197 officers from Punjab, 153 officers from Sindh, 72 officers from Kybher Pakhtunkhwa (KPK), 36 officers from Balochistan have been recruited.
UN also asked for officials from federal capital, Kashmir and Gilgit-Baltistan as 12 officers from Islamabad, eight officers from Azad Jammu Kashmir (AJK) and six officers from Gilgit-Baltistan have also been selected for UN peacekeeping mission.
16 officers  were also recruited from Motorway, Federal Investigation Agency (FIA), National Accountability Bereau (NAB) and other authorities.
20% female officers will also take part in peacekeeping mission.
UN delegations will visit Pakistan in July for the tests of recruited officers.",https://img.dunyanews.tv/news/2019/April/04-16-19/news_big_images/487283_74995367.jpg,pakistan,"
(ISLAMABAD) – Interior Minister Shehryar Khan Afridi has demanded the release list of best and active police officers for United Nation (UN) peacekeeping mission on April 16.",neutral
"Amendments in PPC being introduced to bring Hassan, Hussain and Ishaq Dar back: Fawad Ch","
 
ISLAMABAD (Dunya News) – Federal Minister for Information and Broadcasting Fawad Chaudhry on Tuesday said that the government has taken decision to make amendments in the Pakistan Penal Code and the Counter-Terrorism Department (CTD) has been given authorities regarding money laundering.
Addressing a press conference in Islamabad after federal cabinet meeting on Tuesday, he said that amendments were being introduced in the Pakistan Penal Code (PPC) so that the plunderers could be brought back to the country.
He said that the country is facing crisis due to the wrong policies of rulers in the past, adding that the money laundering cases will be taken to logical end.
“Sharif family and Pakistan Peoples’ Party (PPP) co-chairman Asif Ali Zardari looted the country in the past,” he said and added 95 percent assets of Sharif family were TT-based.
The minister said that former prime minister and Pakistan Muslim League-Nawaz (PML-N) supremo Nawaz Sharif and party president Shehbaz Sharif received money through TT messages from abroad.
Chaudhry went on to say that former finance minister Ishaq Dar, PML-N supremo’s sons Hassan Nawaz and Hussain Nawaz were not appearing before the courts in their cases.
He said, “MQM’s London-based founder, Ishaq Dar, Hasssan Nawaz and Hussain Nawaz are Pakistan’s gifts which Islamabad wants Britain to return.
Fawad Ch said that the federal cabinet has expressed serious concerns over the money laundering. The cabinet also failed to give approval for the amnesty scheme and a special session has also been summoned to further discuss the scheme.
Chaudhry Fawad Hussain said the cabinet decided to further discuss Asset Declaration Scheme, and a meeting to this effect has been convened by the prime minister on Wednesday.
To a question, he said that the country’s civil-military leadership and nation have consensus over the implementation of National Action Plan (NAP).
He said: “The terrorism-related incidents have decreased in the country following the implementation of National Action Plan (NAP) and now it will be implemented in letter and spirit.”
Fawad said the government is fast moving on implementation of National Action Plan, and it is not far when terrorism will be eradicated from the country. He said external factors are involved in the terrorist incidents in the country, and the government is close to completely destroy that infrastructure.
The minister said, “Prime Minister Imran Khan has assured the federal cabinet and the nation that the government s crackdown against terrorists will continue and the menace of terrorism will soon be eliminated.”
 ",https://img.dunyanews.tv/news/2019/April/04-16-19/news_big_images/487279_66434602.jpg,pakistan,"
 
ISLAMABAD (Dunya News) – Federal Minister for Information and Broadcasting Fawad Chaudhry on Tuesday said that the government has taken decision to make amendments in the Pakistan Penal Code and the Counter-Terrorism Department (CTD) has been given authorities regarding money laundering.",neutral
President Alvi visits Quetta to condole Hazara community,"
QUETTA (Dunya News) - President Arif Alvi on Tuesday said that the unity of nation after Quetta incident has beaten the conspiracies of enemies.
He said that implementation of National Action Plan (NAP) first priority of the government and it would protect people of Pakistan.
President Arif Alvi extended condolences to the bereaved families of the martyrs of the terror attack in Hazarganji.
He said that the entire nation stands by the Hazara community in this hour of grief.
The president visited Hazara Town and assured that no compromise will be made on establishing peace in the country. He said he personally felt depressed over tragic incident.
Death toll in Quetta s Hazarganji suicide attack rises to 22
The president said peace is need of the country, and the federal government is standing by the provincial government to maintain peace in Balochistan.
Dr Arif said it is a matter of satisfaction that the sit-in staged by Hazara community against the terrorist attack in Quetta on 12th of this month ended peacefully.",https://img.dunyanews.tv/news/2019/April/04-16-19/news_big_images/487277_59954894.jpg,pakistan,"Death toll in Quetta s Hazarganji suicide attack rises to 22
The president said peace is need of the country, and the federal government is standing by the provincial government to maintain peace in Balochistan.",neutral
"Shehbaz Sharif demands increase in salaries of govt, private employees","
LAHORE (Dunya News) – Opposition leader in National Assembly Shehbaz Sharif on Tuesday demanded that the minimum income be set at Rs 18000 due to ongoing surge in inflation.
The leader of PML-N asked government to increase pay of its employees as holy month of Ramadan is nearing and the PTI government has brought a record inflation in the country. He demanded to increases the salaries of employees by minimum Rs3000 and stressed that government should ensure due action in this regard.
He further said there should be an immediate increase up to 20% in salaries for those earning Rs100000 per month. The increment should be for both private as well as government employees.
Shehbaz also said that in PML-N regime the inflation was at 47 years low but it has now reached to 9.4% ultimately burdening the poor of this country.
He said if government did not give relief to poor then it will add insult to the injury in the holy month of Ramadan. The incumbent government should care about the poor and middle class strata of Pakistan and must not show insensibility towards them, he added.   

 ",https://img.dunyanews.tv/news/2019/April/04-16-19/news_big_images/487268_54200251.jpg,pakistan,The leader of PML-N asked government to increase pay of its employees as holy month of Ramadan is nearing and the PTI government has brought a record inflation in the country.,neutral
Bilawal claims National Action Plan 'not being implemented',"
QUETTA (Dunya News) – Pakistan Peoples Party (PPP) Chairman Bilawal Bhutto Zardari on Tuesday – while extending condolence to bereaved families of Hazarganji terrorist attack on – lashed out at what he termed “double standards” in policies of the federal government.
He regretted that the National Action Plan (NAP) was not being implemented.
“On one hand the ministers claim that they stand by martyrs’ side, whereas they could also be observed favoring killers,” he said.
“After APS incident, all political parties put their effort for formulating the NAP, however, the government could not arrive at a decision whether it is standing by martyrs’ side or the killers?” Bilawal asked.
“They [the government] seem to have confusion. The victims have not been delivered justice and they are not included in the mainstream,” he said.
“Has the prime minister called even one meeting of NACTA?” he asked, while adding that the premier has not called a meeting over the NAP.
“He is selected, he should have completed his responsibility. Our leadership and workers were martyred,” he added.
He said he wanted to see culprits standing in the court of the law.
“Even after passage of four days, the prime minister has not visited Quetta,” he concluded.",https://img.dunyanews.tv/news/2019/April/04-16-19/news_big_images/487262_67983455.jpg,pakistan,"“After APS incident, all political parties put their effort for formulating the NAP, however, the government could not arrive at a decision whether it is standing by martyrs’ side or the killers?” Bilawal asked.",neutral
Miftah Ismail granted interim bail in LNG scam,"
iISLAMABAD (Dunya News) – The Islamabad High Court (IHC) on Tuesday approved interim bail of former minister for finance Miftah Ismail on a petition he had filed in the liquefied natural gas (LNG) case.
Ismail, in his petition, had requested the IHC to restrain the National Accountability Bureau (NAB) from arresting him and sought a pre-arrest bail.
IHC Chief Justice Athar Minallah granted him an interim bail till May 7 against two surety bonds of Rs500,000 each. However, he has been directed to cooperate with the NAB officials in the investigation.
He expressed apprehensions that NAB might arrest him which would be disgraceful and humiliating for him.
“NAB is conducting a baseless inquiry against me. It is subjecting me to political victimisation,” he had stated.
The apex court on September 10, 2018 directed the NAB to complete the inquiry against former premier Shahid Khaqan Abbasi, Miftah Ismail and others for the alleged corruption in the LNG contract.
As the minister for petroleum and natural resources, he has been accused of granting contract on LNG Terminal to ETPL, Tri-partial agreement, LSA with EETPL and LNG import from Qatar etc.
In June 2018, the NAB approved inquiry against former premier Nawaz Sharif and Abbasi, who was the former minister for petroleum and natural resources at that time, in granting contract of LNG terminal for 15 years to their ‘favourite’ company.
It was also observed that this contract had allegedly caused a loss of billions of rupees to the national exchequer.
The NAB in January interrogated former finance minister Miftah Ismail in the same case.
 ",https://img.dunyanews.tv/news/2019/April/04-16-19/news_big_images/487255_44715871.jpg,pakistan,"The apex court on September 10, 2018 directed the NAB to complete the inquiry against former premier Shahid Khaqan Abbasi, Miftah Ismail and others for the alleged corruption in the LNG contract.",neutral
Identification of killed terrorists in process: ISPR,"
RAWALPINDI (Dunya News) – The Inter-Services Public Relations (ISPR) Tuesday said the dead bodies of the terrorists – killed in Peshawar today – have been recovered and their identification is in process.
The ISPR issued a media release and told that Pakistan Army and Khyber Pakhtunkhwa police conducted a joint intelligence-based operation in Hayatabad Phase VII, Peshawar against a terrorist hideout.

Read: Five terrorists killed in operation, one official martyred

The ISPR confirmed that five terrorists were killed while ASI Qamar Alam embraced martyrdom. An officer and a soldier got injured, it added.
It is worth mentioning here that the operation against the terrorists continued for 16 hours. A wave of fear spread in the vicinity when heavy weapons were used. The adjacent area was cordoned off.

Read also: Funeral prayer of martyred police officer offered in Peshawar

On the other hand, the funeral prayers for Qamar Alam were offered at the Malik Saad Shaheed Police Lines. ",https://img.dunyanews.tv/news/2019/April/04-16-19/news_big_images/487250_53167980.jpg,pakistan,"
RAWALPINDI (Dunya News) – The Inter-Services Public Relations (ISPR) Tuesday said the dead bodies of the terrorists – killed in Peshawar today – have been recovered and their identification is in process.",neutral
