title,news,img-url,category,summery,opinion
"Three killed in pick-up, truck collision in Pattoki","
PATTOKI (Dunya News) – At least three persons were killed when a speeding pick-up collided with a truck at the Multan Road in Pattoki on Monday, Dunya News reported.
According to details, a pick-up loaded with egg crates was on its way to Lahore from Habibabad when it collided with a parked truck due to over-speeding near Saddar Politice Station in Pattoki, Killing three person traveling in the pick-up on the spot.
Rescue teams reached the spot after the accident and shifted the dead bodies to Tehsil Headquarters Hospital.
 ",https://img.dunyanews.tv/news/2019/August/08-06-19/news_big_images/503866_38308280.jpg,pakistan,"
PATTOKI (Dunya News) – At least three persons were killed when a speeding pick-up collided with a truck at the Multan Road in Pattoki on Monday, Dunya News reported.",negative
FM writes letter to UN chief about critical situation of Occupied Kashmir,"
ISLAMABAD (Dunya News) - Foreign Minister Shah Mehmood Qureshi has written a letter to the Secretary General of the United Nations and apprised him about the critical situation of the Occupied Kashmir and the regional peace and security situation.
The letter said that India is committing brutalities on innocent and defenseless Kashmiri people under the draconian laws in the occupied Kashmir.
It said the United Nations has a responsibility to speak out against these violations, documented by an independent entity such as OHCHR and occurring in a territory recognized by the UN Security Council as disputed.
The letter said the pace of Indian firing and shelling across the Line of Control is picking up again. Not only these Indian actions violate the ceasefire understanding of 2003 between the two countries, they are causing civilian casualties and leading to heavy damages to the civilian infrastructure.",https://img.dunyanews.tv/news/2019/August/08-05-19/news_big_images/503853_50250419.jpg,pakistan,"It said the United Nations has a responsibility to speak out against these violations, documented by an independent entity such as OHCHR and occurring in a territory recognized by the UN Security Council as disputed.",neutral
"Kashmir is a disputed area, not possible to change its legal status: FM Qureshi","
ISLAMABAD (Dunya News) – Foreign Minister Shah Mahmood Qureshi on Monday said that Pakistan will take every possible action it could take on diplomatic front after Indian government on Monday has ended special status of the valley while scrapping articles 35A and 370 of the Constitution.
Speaking exclusively to Dunya News program “Dunya Kamran Khan Kay Sath”, he said that voices have started coming out from inside India and different political parties have started reacting. India’s opposition parties have declared today’s day as the darkest day in the history of the country.
The foreign minister said, “We had doubt that New Delhi was going to do a bigger drama, adding that Pakistan had written a letter to United Nations Secretary General and apprised him about Islamabad’s concerns.”
Quershi went on to say that Modi government scrapped occupied Kashmir’s special status through back door, adding that New Delhi violated Shimla agreement by abrogating Kashmir’s special status.
“Indian politicians like Shashi Tharoor and Chidambaram were also speaking against the Modi government’s decision,” he said.
To a question, the FM said Pakistan will take every possible action it could take on diplomatic front, adding that joint session of the parliament would also be held on Tuesday. He also welcomed OIC Secretary General’s statement on the issue.
Qureshi said: “Kashmir is a disputed area and it is not possible to change its legal status, while China also have reservations regarding Ladakh.”
Earlier, amid escalating tension in occupied Kashmir following deployment of tens of thousands of additional troops, the Indian government on Monday has ended special status of the valley while scrapping articles 35A and 370 of the Constitution.
In a malicious attempt to turn Muslim majority into minority in occupied Kashmir, the Indian president has signed a four-point amendment decree in this regard.
According to details, the announcement was made by Indian Home Minister Amit Shah during his address in Rajya Sabha, upper house of Indian parliament. Shah said, “Kashmir will no longer be a state. It will be divided into two union territories – Kashmir, which will have a legislature, and Ladakh, which will be without a legislature.""
He also told that the valley would be re-organized geographically.”
The revocation of the articles has allowed other non-Muslim Indian citizens to buy land in the valley while a separate legislative assembly will be established there for its own laws.
 ",https://img.dunyanews.tv/news/2019/August/08-05-19/news_big_images/503852_62488971.jpg,pakistan,"The foreign minister said, “We had doubt that New Delhi was going to do a bigger drama, adding that Pakistan had written a letter to United Nations Secretary General and apprised him about Islamabad’s concerns.”
Quershi went on to say that Modi government scrapped occupied Kashmir’s special status through back door, adding that New Delhi violated Shimla agreement by abrogating Kashmir’s special status.",positive
James Shera writes letter to PM Boris Johnson about latest troubling developments in IOK,"
LONDON (APP) - United Kingdom s (UK) Christian community leader, James Shera in a letter to Prime Minister Boris Johnson has voiced deep concerned over the latest interlinked troubling developments in Indian occupied Kashmir (IOK), besides using of cluster ammunition against Kashmiris by brutal Indian occupation forces.
In a letter to British Prime Minister Boris Johnson, the UK Christian Community leader James Shera said, ""We are deeply concerned at several interlinked troubling recent developments in Indian occupied Jammu & Kashmir"".
James Shera s letter said, ""We have noted increased ceasefire violations across Line of Control, additional deployment of 38,000 troops, heightened state-sponsored repression against the defenseless Kashmiris, and reports regarding attempts to abrogate articles 35-A and 370 of the Indian Constitution, which defines the residents of IOK and limits subjects like property ownership and state citizenship to the indigenous Kashmiris of the area.
By abolishing Article -35, India plans to change the demographic structure of IOK. According to the Kashmiris in IOK, India has been systematically trying to alter the demography with ulterior motives"".
""This would be a blatant violation of the UN Security Council s resolutions on Kashmir dispute and would seriously jeopardise regional peace and security"", Shera remarked.
James Shera further said that reportedly, there has been wide-spread anxiety and fear in IOK.
""Hindu pilgrims for Amaranth Yatara, tourists and students have been advised to leave the IOK forthwith, which suggests that PM Modi led BJP government is up to something drastic"", James Shera said.
The UK Christian Community leader said that political parties in IOK had voiced their serious concern and expressed strong opposition to any legal or administrative measures aimed at changing the ""special status"" of the IOK.
James Shera said the Indian government had failed to clarify its position behind these extraordinary measures, adding the Indian government had also not taken any measures to calm down the situation.
James Shera further said reportedly, in addition to the ceasefire violations across LOC, in the latest provocation, Indian army has used cluster ammunition against civilian population in Azad Jammu and Kashmir, leading to the death of two civilians including a 4-years child and a dozen injuries which was a highly condemnable act.
James Shera said, ""No excuse or pretext justifies use of cluster bomb or ammunition.
It violated international law and was in contravention of the relevant convention"".
The UK Christian Community leader called upon the P-5 countries have a responsibility and vital stakes in regional peace and security.
""As a P-5 member, we must act and act now before it s too late"", James Shera said.",https://img.dunyanews.tv/news/2019/August/08-05-19/news_big_images/503849_76632108.jpg,pakistan,"James Shera said the Indian government had failed to clarify its position behind these extraordinary measures, adding the Indian government had also not taken any measures to calm down the situation.",negative
PM Imran approves water project to tackle crisis in Sindh,"
ISLAMABAD (Dunya News) - Prime Minister Imran Khan Monday accorded approval to a water project presented by the Federal Minister for Water Resources Faisal Vawda and Water and Power Development Authority (WAPDA) Chairman Lt General (Retd) Muzammil Hussain to resolve the water crisis of Sindh province including Karachi.
The meeting was chaired by Prime Minister Imran Khan regarding water resources and water related issues in the country. Faisal Vawda briefed PM on the water crisis in Sindh, especially in Karachi whereas WAPDA Chairman briefed PM with the proposed plan for solving the problem. 
The Prime Minister gave nod to the plan in the meeting to address the water crisis in the country. Federal Minister for Water Resources said that the project would change the destiny of the people of Sindh and Pakistan. 
The official announcement of the project will be announced soon by the Minister of Water Resources Faisal Vawda.
The meeting was attended by Minister for Water Resources Muhammad Faisal Vawda, Secretary Water Resources Muhammad Ashraf, Chairman WAPDA Lt. Gen. (Retd) Muzammil Hussain and other senior officials, PM Office Media Wing in a press release said. ",https://img.dunyanews.tv/news/2019/August/08-05-19/news_big_images/503841_21482392.jpg,pakistan,"
ISLAMABAD (Dunya News) - Prime Minister Imran Khan Monday accorded approval to a water project presented by the Federal Minister for Water Resources Faisal Vawda and Water and Power Development Authority (WAPDA) Chairman Lt General (Retd) Muzammil Hussain to resolve the water crisis of Sindh province including Karachi.",positive
Punjab cabinet condemns illegal and unconstitutional steps of India,"
LAHORE (Web Desk) – Punjab cabinet on Monday strongly condemned the illegal and unconstitutional step taken by the Modi government to revoke the special status of Indian occupied state of Jammu and Kashmir. It also condemned the targeting of civilian population through cluster bombs at LoC and the state-sponsored Indian terrorism in Indian occupied Kashmir.
As per details, Chief Minister Punjab Sardar Usman Buzdar presided over a meeting of provincial cabinet at Civil Secretariat. The cabinet expressed its strongest concern over the decision of the Indian government to revoke the special status of Indian occupied Kashmir and termed it a nefarious effort to usurp the fundamental rights of the Kashmiri people.
Addressing the meeting, Usman Buzdar said that the Modi government is making disastrous measures under a policy of brute military jingoism and asserted that this Indian step will be remembered as the darkest day in the history. In fact, India is snatching the rights of the people in occupied Kashmir through state-sponsored terrorism, he added.
He reiterated that the Pakistani nation is fully standing with their Kashmiri brethren and vowed that diplomatic, political and moral support of the Kashmiri brethren will be continued. The Chief Minster directed the ministers and assembly members to fully participate in a rally organized at Faisal Chowk to show solidarity with the Kashmiris and added that India can never usurp the fundamental rights of Kashmiris through military aggression.
The peaceful struggle of the Kashmiri people is aimed at achieving the goal of self-determination, he said. He said that durable peace and stability cannot be achieved in the region without first solving the core issue of Kashmir and stressed upon the international community to play its role for security peace and freedom of the Kashmiri people.
The cabinet expressed complete solidarity with Kashmir people.
The meeting offered Fateha for the Kashmiri martyrs who became victim to the barbarity of Indian occupied forces and prayed for early recovery of the injured. Auqaf Minister Saeed-ul-Hassan Shah offered the prayer.
The meeting decided to start the 2nd phase of Greater Thal Canal Project (Chobara Branch Canal System) and accorded approval to take financial assistance from Asian Development Bank (ADB). The Chief Minister said that 3.94 lakh acre land in five districts including Jhang, Khushab, Bhakkar, Layyah and Muzaffargarh will be irrigated through Chobara Branch Canal System which will be completed with the cost of 19 crore dollars.
This project will help the people to get rid of poverty besides increasing agricultural productivity as availability of ample water will be helpful in growing cash-crops, he added.
The meeting decided to get benefit from project readiness financing for Punjab Water Resources Management Program and also gave approval to seek financial assistance from the ADB. Usman Buzdar said that ADB will provide 90 percent funds for this mega project. Under Punjab Water Resources Management Program, remodeling and up-gradation of DG Khan canal system will be done with an amount of 6.80 crore dollars. Meanwhile, up-gradation and rehabilitation of upper Jhelum Canal system will be done through Water Resource Management Program with an amount of 17.40 crore dollars.
He said that the project of using water of hill-torrents will be completed in DG Khan and Rajanpur with a huge amount of 31.60 crore dollars. Along with it, Greater Thal Canal Phase-III will be completed with an amount of 60 crore dollars to provide water to thousands of acres of land. It will also help in overcoming water-logging and salinity issues.
The meeting approved steps for immediately removing hurdles in completion of civil work for installing 24km long 500kv transmission line from Guddu to Muzaffargarh. The meeting also gave approval to the decision of ending reallocation policy for sugar mills in Punjab; and after this decision, sugar mills would not be relocated to any other area.
The Chief Minister said that the purpose of this policy is to protect sugarcane farmers.
Cabinet gave approval to the draft of The Punjab Control of Narcotics Substance Act, 2018. Usman Buzdar said that this act will help to control narcotics adding that new excise department force will be set up.
New excise department stations will be established in Lahore, Rawalpindi, Rahim Yar Khan and Mianwali so that the youth could remain safe from drugs.
The meeting approved reconstitution of Directorate of Reclamation and Probation and the meeting was told by the Chief Minister that 51636 prisoners will benefit from this reform which is being done after a long gap of 92 years. This reform would help in releasing of prisoners showing good behavior and those who have had completed their jail terms. The meeting also gave approval to the draft of the Punjab Industries Rules, 2019 for dealing with matters pertaining to the control of cement plants and their expansions.
Usman Buzdar said that rules and regulations with regard to the establishment of cement plants are being constituted for the first time adding that installation of cement plants will not be allowed in negative areas and further said that this would help in protecting wildlife and forests. 
The meeting gave approval to Punjab Sales Tax on Services (Refund) Rules, 2019 along with approval of proposed amendments in Partnership Act of 1932 to exempt private firms from paying registration fee. Usman Buzdar said that this would help in ensuring implementation of policy of bringing ease in businesses and private firms are being provided the facility of online registration.
The meeting gave approval to the notification relating to the establishment of Mir Chakar Khan Rind University of Technology in DG Khan. It also gave approval to various matters including devising the establishment criterion of search committee to review different matters including experience and qualification required for posting of vice chancellor of the university.
The cabinet approved the establishment of search committee and other necessary laws for the posting of VC Punjab University of Technology Rasool. The Chief Minister said that only merit will be given preference for appointing universities’ VCs in the Punjab.
The meeting approved notification for the establishment of Punjab Skills Development Authority which will ensure implementation of laws for the establishment of technical institutions. High standards will be ensured in governmental and private technical institutions to provide world-class education to the students, he said.
The cabinet also approved Punjab Schools Construction and Rehabilitation Program and one hundred model schools will be set up under this program with the cooperation of DFID. Rs.1.20 billion will be spent on it while another amount of Rs.3.20 billion will be spent on the construction of 2500 classrooms. Similarly, one thousand computer labs and equal number of libraries will be upgraded in schools with an amount of Rs.1.64 billion.
The cabinet also approved amendments in Aab Pak Authority Act. The meeting decided to scrap duty on Ethanol besides giving approval to amendments in Family Courts Act, 1964. The meeting approved reconstitution of board of directors of Punjab Economic Research Institute. It also gave approval to exit of Punjab Rural Support Company from public sector companies list of Local Government Department. The establishment of DG Khan Waste Management Company was also approved.
The meeting reviewed matters pertaining to implementation of federal excise duty on crude oil besides reviewing matters relating to enforcement of Article 154 of Constitution of Pakistan 1973.
The meeting endorsed the decisions made in 15th meeting of cabinet. Provincial ministers, advisors, special assistants, chief secretary and concerned officers attended the meeting.",https://img.dunyanews.tv/news/2019/August/08-05-19/news_big_images/503834_22544504.jpg,pakistan,The meeting decided to get benefit from project readiness financing for Punjab Water Resources Management Program and also gave approval to seek financial assistance from the ADB.,neutral
Every Pakistani must raise his voice for Kashmiris: Bilawal Bhutto,"
ISLAMABAD (Dunya News) – Chairman Pakistan People’s Party (PPP) Bilawal Bhutto Zardari said special status of occupied Kashmir was revoked in an undemocratic way. He said they would present their stance on the issue in joint session of parliament in a befitting way.
Bilawal while condemning the actions of Indian government said PM Modi belongs to a extremist party RSS and is known as butcher of Gujrat. He said Modi is now becoming butcher of Kashmir, adding that we must have informed the world about his character when he took oath as PM.
PPP leader said a historical attack has been made on Kashmiri people today. He questioned where PM Imran and his Kashmir committee head are on this issue, adding that the issue will not be resolved just by tweeting.
He said PPP leader Benazir Bhutto had raised the Kashmir issue in front of the whole world.",https://img.dunyanews.tv/news/2019/August/08-05-19/news_big_images/503832_79264889.jpg,pakistan,"He said Modi is now becoming butcher of Kashmir, adding that we must have informed the world about his character when he took oath as PM.",positive
Pakistan summons Indian envoy over India’s illegal actions with regard to occupied Kashmir,"
ISLAMABAD (Dunya News) – Pakistan summoned the Indian High Commissioner to the Foreign Office on Monday and conveyed a strong demarche on the announcements made and actions taken by the Government of India with regard to Indian Occupied Jammu and Kashmir.
The Foreign Secretary conveyed Pakistan s unequivocal rejection of these illegal actions as they are in breach of international law and several UN Security Council resolutions. Pakistan’s resolute condemnation of the unlawful actions aimed at further consolidating the illegal occupation of Indian Occupied Jammu and Kashmir (IOK) was underscored.
The Foreign Secretary also condemned the preceding pre-meditated steps such as complete lock-down of IOK, deployment of additional 180,000 troops, imposition of curfew, house arrest of Kashmiri leaders and suspension of communication services, among others.
Pakistan s consistent opposition to all Indian attempts to change the demographic structure and final status of IOK was emphasized.
The Foreign Secretary called upon India to halt and reverse its unlawful and destabilizing actions, ensure full compliance with UN Security Council resolutions, and refrain from any further action that could entail serious implications.
The Foreign Secretary reiterated that Pakistan will continue to extend political, diplomatic and moral support to the indigenous legitimate Kashmiri people’s struggle for realization of their inalienable right to self-determination.  ",https://img.dunyanews.tv/news/2019/August/08-05-19/news_big_images/503828_63662930.jpg,pakistan,"The Foreign Secretary called upon India to halt and reverse its unlawful and destabilizing actions, ensure full compliance with UN Security Council resolutions, and refrain from any further action that could entail serious implications.",negative
"PM telephones Erdogan, Mahathir, discusses occupied Kashmir situation","
ISLAMABAD (Dunya News) – Prime Minister Imran Khan, as part of outreach to world leaders on the recent developments in Indian Occupied Kashmir, telephoned Turkish President Recep Tayyip Erdogan and Malaysian counterpart Mahathir Bin Mohamad on Monday.
In his telephonic conversation with the Turkish president, the prime minister said that India s illegal actions to modify the special status of the Indian Occupied Kashmir would have serious implications for the regional peace and security.
He reiterated that Pakistan would continue its diplomatic, moral and political to the just cause of Kashmiri struggle for their right to self-determination, as enshrined in the United Nations Security Council resolutions.
President Erdogan shared the concerns on the developing situation in the Indian Occupied Kashmir and assured of Turkey s steadfast support in this regard.
On the other hand, PM Imran, in a telephonic conversation with Malaysian PM Mahathir, said that changing the special status of IoK is a violation of the United Nations (UN) resolutions, and Indian illegal action will affect regional peace and security. “Indian action will further deteriorate relations between the two nuclear neighbors”, he added.
The Malaysian PM expressed that they are closely monitoring the situation in IoK and would remain in contacts with Pakistan. He also expressed that he is looking forward to meet the PM Imran at the United Nations General Assembly (UNGA) meeting.
The 74th session of the UN General Assembly (UNGA 74) will open on 17 September 2019. The first day of the high-level General Debate will be Tuesday, 24 September 2019.
Earlier today, amid escalating tension in occupied Kashmir following deployment of tens of thousands of additional troops, the Indian government ended special status of the valley while scrapping articles 35A and 370 of the Constitution.
In a malicious attempt to turn Muslim majority into minority in occupied Kashmir, the Indian president has signed a four-point amendment decree in this regard.
According to details, the announcement was made by Indian Home Minister Amit Shah during his address in Rajya Sabha, upper house of Indian parliament. Shah said, “Kashmir will no longer be a state. It will be divided into two union territories – Kashmir, which will have a legislature, and Ladakh, which will be without a legislature.""
He also told that the valley would be re-organized geographically.”
The revocation of the articles has allowed other non-Muslim Indian citizens to buy land in the valley while a separate legislative assembly will be established there for its own laws.",https://img.dunyanews.tv/news/2019/August/08-05-19/news_big_images/503827_59228760.jpg,pakistan,"In his telephonic conversation with the Turkish president, the prime minister said that India s illegal actions to modify the special status of the Indian Occupied Kashmir would have serious implications for the regional peace and security.",negative
"Ex-occupied Kashmir CMs Mehbooba Mufti, Omar Abdullah arrested after Article 370 scrapped","
SRINAGAR (Dunya News) – Indian-occupied Kashmir s former chief ministers Mehbooba Mufti and Omar Abdullah – who were placed under house arrest late last evening – have been arrested.
Mehbooba Mufti has been taken to a state guest house. She was put under house arrest last night as the authorities clamped restrictions under Section 144 of CrPC.
The government s move yesterday to place her and Kashmir valley s other mainstream leaders – Omar Abdullah and Sajjad Lone – and its move this morning to end the state s special status and bifurcate it, had provoked a torrent of tweets from the two leaders.
Omar Abdullah has already indicated that his party might challenge the government s move in court.
In a statement this morning after Union Home Minister Amit Shah s announcement in parliament, Abdullah said: ""The scrapping of Articles 370 and 35A raise fundamental questions on the State s accession because that was done on the very terms enunciated in these Articles. The decisions are unilateral, illegal and unconstitutional and will be challenged as such by the National Conference. A long and tough battle lies ahead.""
Mehbooba Mufti had also come down heavily on the Modi government for scrapping J&K s special status. In her tweets, she had called the day the ""darkest"" in Indian democracy and accused the government of having ""sinister"" designs.
""Today marks the darkest day in Indian democracy. Decision of J&K leadership to reject 2 nation theory in 1947 & align with India has backfired. Unilateral decision of GOI to scrap Article 370 is illegal & unconstitutional which will make India an occupational force in J&K,"" Ms Mufti said.

Indian govt ends occupied Kashmir s special status


Amid escalating tension in occupied Kashmir following deployment of tens of thousands of additional troops, the Indian government on Monday has ended special status of the valley while scrapping articles 35A and 370 of the Constitution.
In a malicious attempt to turn Muslim majority into minority in occupied Kashmir, the Indian president has signed a four-point amendment decree in this regard.
According to details, the announcement was made by Indian Home Minister Amit Shah during his address in Rajya Sabha, upper house of Indian parliament. Shah said, “Kashmir will no longer be a state. It will be divided into two union territories – Kashmir, which will have a legislature, and Ladakh, which will be without a legislature.""
He also told that the valley would be re-organized geographically.”
The revocation of the articles has allowed other non-Muslim Indian citizens to buy land in the valley while a separate legislative assembly will be established there for its own laws.",https://img.dunyanews.tv/news/2019/August/08-05-19/news_big_images/503826_51225868.jpg,pakistan,"The government s move yesterday to place her and Kashmir valley s other mainstream leaders – Omar Abdullah and Sajjad Lone – and its move this morning to end the state s special status and bifurcate it, had provoked a torrent of tweets from the two leaders.",positive
