title,news,img-url,category,summery,opinion
Election for Karachi deputy mayor underway,"
KARACHI (Dunya News) – The election of Deputy Mayor of Karachi is underway at Karachi Metropolitan Corporation (KMC) City Council Hall today (Thursday).
The polling started at 9am and will continue till 5pm without any interruption.
According to details, two polling booths have been set up for 300 elected representatives of Karachi City Council including 73 women for voting.
A strong competition is being witnessed between Muttahida Qaumi Movement-Pakistan (MQM-P) candidate Arshad Hassan who was elected as the chairperson from UC-24 in District East and Pakistan Peoples Party (PPP) candidate Karamullah Waqasi who served as the chairperson from UC-31.
It is to be mentioned here that Deputy Mayor seat fell vacant after the disqualification of Arshad Vohra on March23 in Election Commission of Pakistan (ECP) verdict for switching the party. ",https://img.dunyanews.tv/news/2019/April/04-18-19/news_big_images/487544_63992637.jpg,pakistan,It is to be mentioned here that Deputy Mayor seat fell vacant after the disqualification of Arshad Vohra on March23 in Election Commission of Pakistan (ECP) verdict for switching the party.,neutral
Bringing undocumented businesses under tax net will improve economy: Asad Umar,"
ISLAMABAD (Dunya News) – Finance Minister Asad Umar on Wednesday said that bringing the undocumented businesses under tax net will improve the economy.
Speaking exclusively at Dunya News program “Dunya Kamran Khan Kay Sath”, he said that he had a special meeting with Prime Minister Imran Khan to discuss matters pertaining to amnesty scheme.
Some opined to make the amnesty scheme such flexible that maximum people could get benefit while the other opinion if the scheme is made more independent, it would face criticism, he said and added we want to reach on a decision after deliberating in detail.
The minister further said that the amnesty scheme’s is not aimed at collecting money or improving the economy but bring the businesses under tax net will improve the economy.
The standard of the scheme would be if it increased the tax net or not, he said.
To a question, Umar said this is an historic chance as the government wants to run the economy in a different way, adding that if decision regarding amnesty scheme takes seven days, its nothing.
 ",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487492_80210039.jpg,pakistan,"To a question, Umar said this is an historic chance as the government wants to run the economy in a different way, adding that if decision regarding amnesty scheme takes seven days, its nothing.",positive
Impossible to run country through Presidential system: Sherry Rehman,"
ISLAMABAD (Dunya News) – Pakistan Peoples’ Party (PPP) leader and Senator Sherry Rehman on Wednesday said that Pakistan Tehreek-e-Insaf’s (PTI) tsunami has become a tsunami of debts. 
Speaking at the meeting of Senate Standing Committee on Finance, she said that the country’s economy has devastated, adding that Finance Minister Asad Umar is seeking loans from Saudi Arabia, United Arab Emirates (UAE) and International Monetary Fund (IMF). 
Rehman went on to say that bailout package with IMF has been agreed but the parliament has no knowledge of the program. 
“The government thinks that the country can be run through president system,” she said and added it will have negative impact. “PPP will resist govt’s move to nudge the country towards a presidential system,” she said.",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487484_94547456.jpg,pakistan,"“The government thinks that the country can be run through president system,” she said and added it will have negative impact.",negative
PM Khan among Times 100 most influential leaders,"
(Web Desk) – Prime Minister Imran Khan has been named among the 100 most influential people of 2019 by Time magazine.

Time magazine list of 100 most influential people in 2019  published on Wednesday was divided in five categories of pioneers, artists, leaders, icons and titans.

See all the 2019 #TIME100 honorees in under a minute — Presented by @Cadillac #KeepRising https://t.co/Bn1xdpAkOR pic.twitter.com/mGODPFEG7u
— TIME (@TIME) April 17, 2019 
PM Khan the legend cricketer, who won the cricket world cup for Pakistan in 1992 known for his idealism and philanthropic work, struggled to gain political roots in the country for 22 years by working on ground through his political party ‘Pakistan Tehreek Insaaf’ was placed in the category of most influential leaders of 2019.
PM Imran spearheading the campaign against corruption and injustice, raised awareness among the masses and gained power in the general elections of 2018.
Other prominent figures in the leaders’ category are UAE Crown Prince Mohammed bin Zayed, Malaysian Prime Minister Dr. Mahathir Mohamad, Chinese President Xi Jin Ping, US President Donald Trump and New Zealand’s Prime Minister Jacinda Ardern among many others.
Eminent journalist Ahmed Rashid wrote
‘Pakistan is at a critical crossroads, and the man in charge is the closest it has to a rock star. Imran Khan captained the team that won the 1992 Cricket World Cup, built a world-class cancer hospital in Lahore, then a top-notch university for kids who could never have dreamed of attending one. Twenty years ago, he entered politics—a dirty business in Pakistan at the best of times.’
‘Now he is Prime Minister of an impoverished nation that cannot pay its bills and is dependent on handouts from rich neighbors like China and the Arab Gulf states. Critics say Khan is too close to the army and Islamic fundamentalists, and chooses advisers poorly. Driven by fierce ambition, he can be cold and calculating. But he still generates the broadest hope among young and old that he can turn Pakistan around, and help make South Asia an ocean of peace rather than a state of permanent conflict.
By
Saadia Ali
 ",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487475_96190215.jpg,pakistan,"See all the 2019 #TIME100 honorees in under a minute — Presented by @Cadillac #KeepRising https://t.co/Bn1xdpAkOR pic.twitter.com/mGODPFEG7u
— TIME (@TIME) April 17, 2019 
PM Khan the legend cricketer, who won the cricket world cup for Pakistan in 1992 known for his idealism and philanthropic work, struggled to gain political roots in the country for 22 years by working on ground through his political party ‘Pakistan Tehreek Insaaf’ was placed in the category of most influential leaders of 2019.",positive
Pharma industry announces to slash prices of 395 essential medicines ,"
KARACHI (Dunya News) – In order to provide due economic relief to masses, Pakistan Pharmaceutical Manufacturers  Association (PPMA) on Wednesday announced to curtail prices of 395 essential medicines whose prices had been reduced by the Drug Regulatory Authority of Pakistan (DRAP) but not implemented by the pharmaceutical industry and also announced to slash prices of 464 medicines voluntarily by 10 to 15 percent.
Addressing a press conference in Karachi on Wednesday, PMMA Chairman Zahid Saeed announced to reduce prices of 395 essential medicines from one percent to 471 percent as per government’s SRO no. 1610 and within 15 days, these medicines would be available on reduced prices throughout Pakistan. 
Accompanied by the representative from multinational pharmaceutical companies in Pakistan Ayesha Tammy Haq and in the presence of several drug manufacturers, the PPMA chairman said they were forced to lower down the prices of medicines with heavy heart on the pressure from the health minister as well as Commerce Advisor Abdul Razzaq Dawood as increase in cost of production of medicines had made doing business very difficult in Pakistan. 
At the same time, the pharmaceutical industry has voluntarily decided to lower the prices of another 464 medicines by 10-15 percent and providing it to the people on their original cost of production, the PPMA Chairman announced, saying medicines whose prices were being reduced were very well known and commonly used medicines for the treatment of communicable as well as non-communicable diseases.
Recently, the government allowed increase in prices of around 45000 medicines by 15 percent following a suo moto taken by the Supreme Court of Pakistan but in some hardship cases, prices of 464 medicines were increased over 15 percent because their cost of production had become unbearable for the industry and production of many of these drugs had been stopped by the pharmaceutical manufacturers.
“It is very painful and challenging decision for pharmaceutical industry since hardship cases were decided in Nov 2018 where rupee were priced 138 against the US dollar. Today it is 143”, Zahid Saeed said, adding that continuation of these prices is possible if dollar does not appreciate, utilities prices are maintained and government is able to control inflation as prices of drugs cannot be isolated from these factors.
PPMA Chairman announced that the decisions are implemented from today onwards and work on replacement of stocks has commenced to ensure availability of reduced price, adding that process to recover and replace stocks at distributor / retail shelf level will be 100% complete in next 15 days since logistics will take time and shortage have to be avoided. 
Zahid Saeed maintained that the government had allowed 15 percent increase in prices of locally produced medicines in January this year to ensure the very survival of the pharmaceutical industry of the country facing serious economic challenges in its strive to produce quality drugs at affordable prices for the patients in Pakistan.
Increase in prices of medicines had been in conformity with the several directions of the apex judiciary on the issue, he said and added that in case the government had not allowed the much-needed relief to the Pakistani medicines’ manufacturers in the form of 15 percent increase in locally produced drugs, public healthcare system of the country would have been in sheer shambles due to unavailability of medicines.
“Cost of production of the local Pharma industry had increased manifold since 2018 due to an unprecedented decrease in value of rupee as compared to the dollar while keeping in view the fact that up to 90 percent raw material of the industry was imported”, he informed. 
“In the meanwhile electricity tariff increased by 45 percent, the natural gas bill increased by 65 percent while diesel price also increased by 95 percent as all these factors also directly affect the cost of our production,” said the PPMA chairman.
Urging government to slash duties and taxes on import of raw material including packaging material, he said they contribute Rs50 billion annually to the national exchequer for form of taxes and added that if government makes them taxation free industry, they could slash prices by another 15-20 percent while they could also earn valuable foreign exchange by becoming the second largest exporting industry of Pakistan within two years.",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487465_58505557.jpg,pakistan,"Recently, the government allowed increase in prices of around 45000 medicines by 15 percent following a suo moto taken by the Supreme Court of Pakistan but in some hardship cases, prices of 464 medicines were increased over 15 percent because their cost of production had become unbearable for the industry and production of many of these drugs had been stopped by the pharmaceutical manufacturers.",positive
"Social harmony, national integration depend on speedy justice: NA Speaker","
ISLAMABAD (APP) – National Assembly Speaker Asad Qaiser on Wednesday said speedy and fair justice would ensure social harmony and national integration.
The NA Speaker expressed these views while talking to Federal Ombudsman Syed Tahir Shahbaz who called on him at Parliament House.
He said that provision of speedy justice would not only ensure improved socio-economic indicators of the country but it would also improve the image of Pakistan at regional and international level.
He mentioned that provision of justice was the basic need of each and every state and the societies which did not provide justice become extinct on earth.
The Speaker said that provision of speedy and cost free justice was the responsibility of the state and incumbent government was striving hard for provision of justice to common people in the country.
Asad Qaiser said that it was an era of information revolution and the use of latest internet based gadgets should be used by the office of Federal Ombudsman to create national awareness and consciousness regarding the functions of Ombudsman.
He also stressed upon the need to take speedy action on complaints so that speedy justice could be ensured.
The NA Speaker also mentioned that seminars, programs, and public meeting be arranged for the general awareness of the common people in the country. He appreciated the role of Federal Ombudsman in providing justice to masses and making the user friendly mobile apps for registration of complaints.
Asad Qaiser stressed the need for using electronics, press and internet based media to create awareness among masses.
Federal Ombudsman Tahir Shahbaz appreciated the Speaker’s concern for the welfare and provision of justice to the common people.
He mentioned the goal of his organization to provide justice to all. He said that cost free and easy justice would eliminate the crime rate in the country and ensure the well being of the common people.
The Ombudsman also presented the Annual Report 2018 about Federal Ombudsman’s working and achievements of targets.",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487463_98217080.jpg,pakistan,The Speaker said that provision of speedy and cost free justice was the responsibility of the state and incumbent government was striving hard for provision of justice to common people in the country.,negative
Met office forecasts more rains in the country,"
 LAHORE (Dunya News) -  Pakistan Meteorological Department on Wednesday forecasted  that there would be more rains in Islamabad, upper Punjab and KPK.
More rain-thunderstorm with gusty winds is expected at scattered places in upper Punjab (Rawalpindi, Lahore, Gujranwala, Sargodha, Faisalabad, Sahiwal divisions), upper Khyber Pakhtunkhwa (Malakand, Hazara, Mardan, Kohat, Peshawar divisions), Islamabad, Kashmir and Gilgit Baltistan, while at isolated places in Quetta and Zhob divisions. Dry weather is expected elsewhere.
On Thursday mainly dry weather is expected in most parts, while hot in plain areas of the country. However, more rain-thunderstorm with gusty winds is expected at isolated places in Gilgit Baltistan, Kashmir and adjoining hilly areas.
There could be land sliding in Malakand, Hazara division, Gilgit and Kashmir.
The farmers are advised to take necessary measures in context of the current forecast.
 ",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487462_17988378.jpg,pakistan,"On Thursday mainly dry weather is expected in most parts, while hot in plain areas of the country.",positive
PM directs K-Electric to reduce time period for new connections,"
ISLAMABAD (APP) – Prime Minister Imran Khan on Wednesday directed K-Electric to reduce time period of providing new electricity connections to one month. 
The prime minister said this while chairing a meeting to review progress on ‘Ease of Doing Business Strategy 2018-21’. The meeting was held at PM Office in which Chairman Board of Investment (BOI) Haroon Sharif briefed the prime minister about progress, made so far in that regard.
The prime minister was briefed on automation of electricity connection process by K-Electric, making it easier by shifting it to online system where customer could track their applications.
The prime minister was informed Securities and Exchange Commission of Pakistan (SECP) had been integrated with Punjab and Sindh business registration portals.
The company could be registered in one day with SECP on its online platform.
He was apprised that Lahore Development Authority (LDA) had started its one-window operation with availability of all relevant departments for the issuance of construction permits. Similarly, time period has also been reduced in Karachi significantly in same regard.
The meeting was informed that property registration process in Punjab has completely been computerized.
The chairman further briefed the prime minister about online payment collection process of federal and provincial taxes, contributions and duties.
He also briefed on integration of key departments with Web Based One Customs system (WeBOC), an online platform of Pakistan Customs to help importers and exporters, saving the time and money.",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487461_78714378.jpg,pakistan,"He also briefed on integration of key departments with Web Based One Customs system (WeBOC), an online platform of Pakistan Customs to help importers and exporters, saving the time and money.",neutral
CM Buzdar reviews provincial development strategy 2023,"
LAHORE (APP) – Punjab Chief Minister (CM) Sardar Usman Buzdar on Wednesday approved the draft of provincial development strategy 2023 which would now be presented before the provincial cabinet. 
He was presiding over a high-level meeting at office of Planning and Development (P&D) to review provincial development strategy 2023 and progress on provincial annual development programme (ADP) 2018-19.
Addressing the meeting, the CM said that a composite development strategy had been devised to promote the provincial economy on the durable lines. The growth rate would be increased and investment would be promoted in collaboration with the private sector, he added.
“We want to rectify the geographical imbalance of the past governments with regard to development and the goal of balanced geographical development would be achieved through a comprehensive development strategy,” he maintained.
He said that solid steps would be taken to increase the provincial resources so that people could be provided with more facilities.
He said that more resources would be allocated for the provision of education, healthcare, clean drinking water and other facilities.
Sardar Usman Buzdar said that the draft development strategy had been devised with the utmost care, hard work and all the stakeholders had also been consulted. The policies and governmental steps would help to alleviate poverty to improve the quality of life of people, he asserted.
Secretary P&D gave a briefing about the important points of development strategy 2023.
The CM expressed displeasure over the failure of some departments in the timely utilization of development funds released for different schemes during the current financial year.
He said that timely completion of public welfare schemes was essential and directed to ensure timely utilization of funds for public welfare schemes.
Delay in the utilization of development funds should be avoided, he said and added that the funds released to different departments should be properly utilized on public welfare schemes.
Provincial ministers Raja Basharat, Makhdoom Hashim Jawan Bakht, Malik Nauman Ahmad Langhrial, Yasir Humayun, and others attended the meeting.",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487460_63350569.jpg,pakistan,He said that solid steps would be taken to increase the provincial resources so that people could be provided with more facilities.,positive
"PML-N, PPP join hands against Punjab government","
 LAHORE (Dunya News) – Two major  political parties in Punjab Assembly, PPP and PML-N have decided to resist the unconstitutional and unparliamentary steps taken by PTI led Punjab governmet.
The opposition parties in Punjab Assembly threatened to resign from committees over government’s denial to make Hamza Shehbaz chairman PAC.
As per details, PPP and PML-N leadership met at Punjab Assembly to deliberate on the current situation in the province.
According to Dunya News sources, the opposition threatened to boycott and resign from the committees over government s unconstitutional steps.
The leadership of PPP and PML-N also censured the federal government and said two viceroys are sitting in Punjab and province is being run from center.
They further said that the working of parliament is being ruined and they would not allow running of state affairs under ‘Imrani rule’.
 ",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487458_95477949.jpg,pakistan,The leadership of PPP and PML-N also censured the federal government and said two viceroys are sitting in Punjab and province is being run from center.,negative
