title,news,img-url,category
Wheat worth Rs620mn sold illegally from Food Dept warehouses: ACE,"
DADU: The Anti-Corruption Establishment Sindh on Wednesday revealed that wheat worth Rs620 million was sold illegally from warehouses of the Food Department in Dadu, ARY News reported.
This was disclosed when a team of the Anti-Corruption Establishment (ACE) raided nine different warehouses of the Food Department in Dadu. The ACE team included the assistant and deputy directors also.
During the raid, the ACE team found 0.194 million sacks of wheat worth Rs620 million missing.

 “We have found that wheat worth Rs620 million has been sold unlawfully,” said the deputy director.
He said two employees of the Food Department had been taken into custody and an investigation had been launched against the embezzlement.
Read More:SHC questions about minister in wheat scam
On March 27, the Sindh High Court (SHC) had heard a case pertaining to stolen wheat worth billions of rupees.
During the hearing, the lawyer representing the accused Zubair and others had said his clients were ready to pay the amount.
The counsel of the National Accountability Bureau (NAB) had said the suspects were paying the amount and not the mark-up.
The chief justice SHC had said the accused must also pay the mark-up rate. The court had said the wheat was meant for distribution among the poor.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/04/wheat-750x369.jpg,PAKISTAN
‘We have to bring strategic stability in region’: Shireen Mazari,"
ISLAMABAD: Declaring tension harmful for both Pakistan and India, Federal Minister for Human Rights Shireen Mazari said that they had to bring strategic stability in the region.
Talking to journalists, Shireen Mazari said that Pakistan wanted de-escalation but on the other side, India continued ceasefire violations along the line of control (LoC).
She said that Pakistan gave a better reply to Indian’s ‘cold start’ military doctrine. The minister said that Pakistan Army gave ‘technical response’ to Indian aggression during the recent tension in the region. She said that they hoped that India would learn a lesson from Pakistan’s response but it did not happen.

 Read More: Shireen Mazari slams UN’s role over Kashmir issue
Earlier, Federal Minister for Human Rights Dr Shireen Mazari on February 19, had said any misadventure by Indian forces would be responded with even greater force and strength, adding that India had continuously violated United Nations’ resolutions on Indian occupied Kashmir. 

She had urged the international community to raise their voice against human rights violations in held Kashmir and stop Indian brutalities in the Kashmir valley.
The minister was addressing the international seminar titled ‘Hindutva Polices and the State of Minorities in India’ in Islamabad.

Comments comments  ",https://arynews.tv/wp-content/uploads/2019/03/Shireen-Mazari-750x369.jpg,PAKISTAN
NAB raids residence of former AJK president Raja Zulqarnain,"
RAWALPINDI: The National Accountability Bureau (NAB) on Tuesday raided a residence of former Azad and Jammu Kashmir (AJK) president, Raja Zulqarnain, over graft charges, ARY News reported.
The NAB team, led by its director Asad Janjua, raided the house of ex-AJK president to arrest him in the wake of an ongoing investigation in the rental power project case.
The officials of the accountability watchdog also had the arrest warrants for the former AJK legislator.

 ﻿
Raja Zulqarnain is facing charges of receiving kickbacks in the rental power project during his tenure. His two sons are also accused of being involved in money laundering practices.
It’s not the first time the NAB went after the former AJK president in the case. In 2016, the NAB officials had raided the house of Zulqarnain, however, personal guards of the AJK leader had attacked the NAB team and injured Deputy Director Asghar Ali.
Similarly, the same year, an accountability court had sent a member of the Azad Jammu and Kashmir Legislative Assembly, Raja Babar Ali Zulqarnain, to jail on judicial remand in rental power projects case.
Judge Nisar Baig sent had Zulqarnain, the son of Raja Zulqarnain, to jail on judicial remand after the officials of the anti-graft body produced him before the court on expiry of his physical remand.
Zulqarnain was arrested on January 21, 2016 from the premises of the Islamabad High Court following the dismissal of his bail application in the case.
According to the anti-graft body, Zulqarnain made the contractual arrangement between the federal government and the company for electricity supply through ship-mounted power facility.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/04/NAB-2-750x369.jpg,PAKISTAN
People urged to register complaint with DC against high-priced milk,"
KARACHI: Sindh Minster for Agriculture, Supply and Prices Muhammad Ismail Rahu on Wednesday asked the masses to register complaint with the relevant deputy commissioner if they were sold milk at high price in Karachi, ARY News reported.
Directing the milk-sellers to sale milk at the price fixed by the government, the assistant commissioner West warned that action would be taken against dairy farmers and retailers for selling milk at inflated price.
Milk price has overnight soared by Rs23 a litre, following which milk is being sold at Rs120 a litre. This has put milk-sellers at loggerheads with the government.

 The president Dairy Milk Association (DMA) has confirmed the price hike, while Vice Chairman DMA Saleem Gujjar said milk price was not raised at retail level. Gujjar claimed that retailers were selling milk at the price fixed by the Karachi commissioner.
Read More:Adulterated milk destroyed in snap-checking near Karachi’s Toll Plaza
Dairy farmers have been directed to supply milk to retailers at Rs85 a litre, while the retailers have been directed to provide milk to consumers at Rs94 a litre.
On April 6, the Sindh Food Authority (SFA) launched a snap-checking near Karachi Toll Plaza and discarded hundreds of litres of adulterated milk being transported to the metropolis.
SFA officials had said substandard milk was being transported to Karachi from different cities of the province. Upon checking, milk was found to be adulterated and therefore, was discarded, they added.
SFA deputy director Imtiaz Ali had said fines worth Rs50,000 were also imposed. He had announced to launch a similar snap-checking on two other entry points of the city – the National Highway and Hub road soon.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/04/Milk-Price-01-750x369.jpg,PAKISTAN
Waseem Akhtar demands ‘past-like’ authority for KMC,"
KARACHI: Mayor Karachi Waseem Akhtar on Wednesday said the Karachi Metropolitan Authority (KMC) should have the authority that it had in the past, ARY News reported.
Talking to media here, Akhtar said the KMC made a significant move by remove encroachments from Karachi’s different places.
He said the Sindh government project for restoration of Karachi Zoo should have been completed by now. “The government contractor involved in the restoration work told us the funds are being released at a snail’s pace,” he added.

 Read:Mayor Karachi Waseem Akhtar vows to renovate parks in city
Waseem Akhtar said the elections of civic bodies should not be held if the government refrained from granting powers to KMC officials. “I will also request the Supreme Court in this regard,” said the mayor.
He insisted that an alternative place for Lee Market shopkeepers would be allocated very soon.
To a question, Akhtar said he wasn’t a ‘soothsayer’ to confirm whether he would be going to jail in future. “If somebody has any complaint against me, then they should question me.”
He called upon the provincial government to pay heed to the dismal condition of public sector hospitals to improve their condition.
Two days ago, Waseem Akhtar had vowed to touch up different parks across the metropolis, ARY News reported.
“We are working on Hill Park, while parks of different union councils will also be enhanced,” Waseem Akhtar had said adding that the local government would soon open Jheel Park after renovation.
He said the local government was also animating Karachi Zoo as well as the Karachi Metropolitan Corporation. Dr Ruth Pfau Hospital had already been renovated, he added.
Comments comments  ",https://arynews.tv/wp-content/uploads/2018/05/waseemakhtar-750x369.jpg,PAKISTAN
Heirs of Sahiwal tragedy victims meet PM Imran Khan,"
LAHORE: Heirs of Sahiwal tragedy met Prime Minister Imran Khan in Lahore on Wednesday, ARY News reported.
According to details, Prime Minister Imran Khan expressed his deep grief and sorrow over the loss of lives and termed the victims’ heirs’ loss “irreparable”.
He said government equally shares the grief and sorrow of the families of the victims.

 The prime minister also distributed cheques among the heirs of the victims of Sahiwal tragedy.
Currently the policemen involved in the shady encounter are being trialed in the anti-terrorism court (ATC).
Four people, including two women, were killed in a shady encounter involving the Punjab police’s Counter Terrorism Department on a highway in the Qadirabad area of Sahiwal district on Jan 19.
The prime minister took notice of the incident that caused an outcry across the country. He directed the Chief Minister of Punjab to initiate a probe and take stern action against the people responsible for the incident.
The policemen involved in the incident were detained on instructions of the prime minister and the Home Department of Punjab constituted a joint investigation team (JIT) to probe the incident.
The JIT in its report held the CTD officials, involved in the encounter, responsible for murder of three members of a family, while the probe team declared Zeeshan, the fourth person killed in the firing, a terrorism suspect.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/04/Sahiwal-1-750x369.jpg,PAKISTAN
Met office forecasts light rainfall in parts of Pakistan,"
ISLAMABAD: Pakistan Meteorological Department (PMD) has forecast light rain with gusty winds in various parts of the country as a westerly wave present in Afghanistan and adjoining parts of Pakistan.
The wet spell due to the weather system will persist for three days, the met office said.
A westerly wave will enter in Pakistan from Iran on Sunday, which will bring a wet spell in Balochistan and Sukkur and Larkana divisions in Sindh and likely light showers in Karachi.

 According to director met department the rain system will persist for three days from April 14 to 16.
Moreover, the weather department has predicted mainly hot and dry weather in most parts of the country on Wednesday (today), while very hot in South Punjab and Sindh. However, dust-thunderstorm and light rain with gusty winds is expected at isolated places in Quetta, Zhob, Malakand, Hazara, Dera Ismail Khan, Dera Ghazi Khan, Multan, Sargodha, Sukkur divisions and Kashmir.
The maximum temperature in the country yesterday recorded 44 degree Celsius in Dadu and Nawabshah districts of Sindh.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/04/Rain-750x369.jpg,PAKISTAN
Model Iqra Saeed died from drug overdose: police,"
LAHORE: The police on Wednesday managed to unlock the cell phone of Karachi-born model Iqra Saeed, who was brought to a hospital in Lahore in an unconscious state where she died, ARY News reported.
According to information obtained from her mobile phone, Iqra, 22, ran away from her home in Karachi and did drugs with three other men in Lahore’s Gulshan-e-Ravi, before she fell unconscious.
The model was moved to the Government Teaching Hospital Shahdara after she fell unconscious due to overdosed on ice, by the men, identified as Hasan Butt, Usman and Umar.

 She passed away in the hospital two days later. According the police case has been registered against the aforesaid accused, however they have got interim bails in the case.
The police said the model died due to overdose on ice and further added that postmortem report will reveal the more facts into the matter of her death.
It is important to mention here that the past few years have seen various cases of similar nature arise across the city of Lahore. Back in November 2016, popular stage actor Kismat Baig lost her life after being shot eight times by unidentified armed men on her way home from work one night.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/04/Iqra-750x369.jpg,PAKISTAN
President confers Nishan-i-Imtiaz upon Turkish Airforce commander,"
ISLAMABAD: President Dr. Arif Alvi on Wednesday conferredNishan-i-Imtiaz (Military) upon Commander Turkish Air Force General Hasan Kucukakayuz, Radio Pakistan reported.
As per details, the commander of Turkish Airforce called on President Alvi today.
During the meeting, the president said “Pakistan and Turkey enjoy an unparalleled fraternal relationship embedded in a shared cultural and religious heritage.”

 He also appreciated Turkish support during recent tensions with India.
Dr. Alvi told the visiting dignitary that there is a vast potential for investment in Pakistan especially in energy, infrastructure and food processing sector.
Earlier today, Commander of Turkish Airforce GeneralHasan visited Air Headquarterin the federal capital and called onAir Chief Marshal Mujahid Anwar Khan.
The Turkish air chief arrived with his delegation to visit the headquarter where Air Marshal Mujahid Anwar welcomed the visiting dignitaries.
GeneralHasan paid tribute to the martyrs of Pakistani airforce and presented floral wreath at the memorial of martyrs.
Later, the two air chiefs exchanged views on the security situation and other matters of mutual interest.
The Turkish commander appreciated the professionalism of the Pakistani Airforce and noted the fact that Airforce of Turkey always stood beside Pakistan through every difficult time.
Both the sides reinvigorated their military ties and expressed resolve to take it farther.

Comments comments  ",https://arynews.tv/wp-content/uploads/2019/04/feature-1-750x369.jpg,PAKISTAN
CM Usman Buzdar briefs PM Khan about performance of Punjab ministers,"
LAHORE: Punjab Chief Minister Usman Buzdar has called on Prime Minister Imran Khan in Lahore on Wednesday, Radio Pakistan reported.
The premier had reached Lahore on a day-long visit, earlier in the day.
During the meeting, matter of mutual interest, overall political situation and administrative issues of the province were discussed.

 The provincial chief executive apprised Prime Minister Imran Khan about working of the Punjab government and performance of provincial ministers.
He also apprised him about construction work of shelter homes in the province.
As per schedule of the PM, he will be briefed about Naya Pakistan Housing Scheme Labour Card and matters related to tourism in the province.
Read more:PM Imran Khan inaugurates non-stop Jinnah Express train
Moreover, the premier will also chair PTI’s Parliamentary party meeting to take it into confidence over matter of salary increment to the Punjab Assembly lawmakers and will look into the matter of reports related to rifts in the party ranks.
In his last visit to Lahore on March 30,Prime Minister Imran Khan had inaugurated non-stop Jinnah Express train and launched the renovation works at the Lahore Railway Station.
He had said the government was going to launch a health insurance programme for the poor. He said all the week segments of society should get the health cards in Pakistan.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/04/buzdar-750x369.jpg,PAKISTAN
British shipyard evacuated after report of bomb on nuclear submarine,"
LONDON: A shipyard in northern England that builds Britain’s nuclear submarines was evacuated on Wednesday after what a local news website said was a bomb warning.
“As a precaution, the Devonshire Dock Complex has been closed,” a spokeswoman for BAE Systems said. “Staff, contractors and local residents are being kept informed.”
Ambulances were on the scene.

 An unidentified source told The Mail, a Barrow-in-Furness-based publication known previously as the North-West Evening Mail, that staff had been evacuated after a warning about a bomb on an Astute-class nuclear attack submarine.
Comments comments  ",https://arynews.tv/wp-content/uploads/2017/08/breaking-news.jpg,INTERNATIONAL
Indian election commission seeks report on Modi’s reference to military during campaign,"
The Indian Election Commission has sought a report on the mention of armed forces by Prime Minister Narendra Modi duringa rally in Maharashtra a day earlier.
During his political speech, Modi was seen asking first-time voters to dedicate their ballots to the Indian military,Times of Indiareported on Wednesday.
“I want to tell the first-time voters: can your first vote be dedicated to the soldiers [who carried out the air strike in Pakistan? Can your first vote be dedicated to the soldiers [killed in] Pulwama?” Modi was quoted as saying.

 Last month, the election commission of India had issued an advisory asking political parties and candidates to refrain, during their election campaigns, from “indulging in political propaganda involving activities of defence forces” related to recent Pak-India tensions following the Pulwama attack,ToIreported.
Hindustan Timesquoted sources in the poll panel as saying that that the chief electoral officer of Maharashtra has been directed to submit a report on the matter at the earliest.
India’s Election Commission has announced that the upcoming national polls will be held in seven phases on April 11, 18, 23 and 29, and May 6, 12 and 19. The votes will be counted May 23.
About 900 million people are eligible to vote in world’s largest democratic country.

Comments comments  ",https://arynews.tv/wp-content/uploads/2019/04/5cadb07eae65b.jpg,INTERNATIONAL
