title,news,img-url,category
Indian claims of downing Pakistan's F-16 fall flat on its face,"
(Web Desk) – Ever since the Balakot incident, ‘Magnificent India’ has come up with one fabricated story of false bravado after another.
In hind sight one can only decipher, what was more damaging to the Modi regime’s hegemonic designs carved by the ‘Hindutva doctrine.’
Was it the lame attempts of India at showing off its aerial dominance; through trespassing Pakistani territory only to de-root a few trees, especially in an election year when all eyes are on the poll results and the anti-Pakistan rhetoric was to play significant role in its last attempt at sweeping in the general elections?
Or was it engaging Pakistan in an aerial dogfight resulting only into a humiliating downing of its jets and capture of the IAF pilot Abhinandan by Pakistan.
Nevertheless, the Indian media’s drum beating, creating war hysteria to up the nationalist agenda proved quite futile, when no one from the international community backed up the Indian claims.
More sorry state of affairs surfaced when one proof after another put a stamp on India’s fictitious claims aimed at misleading the naive masses.
The recent blow to the Indian superiority bubble came today when a leading magazine published a piece, on ‘No F-16 found missing from Pakistan’s arsenal,’ again disapproving Indian heroic and miraculous claims of shoot down of F-16 by a MIG-21.
The Indians still dumbfounded by the latest revelations, are asking questions to their government of what really went down that day, though some are still sticking to their own claims of downing an F-16 coming up with more fabricated lies.
Social media was filled with questions and criticism on both sides of borders with F-16 the top trend on Twitter in India.
Pakistanis were overjoyed as it was another feat in their favor, feeling proud of their armed forces capability and superiority.
Let’s ponder on the days happenings on Twitter; the social media battle field of the internet warriors.
Some irked Indian’s called the whole charade as Modi’s wonderland.

We shot down our own helicopter. Pakistan shot down our MIG21. PM lied that we shot down Pakistan F16 . PM sought vote for valour of Army which actually didnt happened and its proved without doubt. Welcome to wonderland of Modishah? @atti_cus
— (@imsbaid) April 5, 2019
 
  Some call for a public apology and investigation.

Now with records set in place its time @rahulkanwal and his incompetent investigation team publicly apologise for fooling and lying to gullible public about #F16 pic.twitter.com/OPyzqnqwl7
— Koshur_Munda (@MundaKoshur) April 5, 2019
 


It is also possible that India’s MiG-21 wounded but did not kill an F-16  https://t.co/AD2Q9Cd6Vy
— Vipin Narang (@NarangVipin) April 5, 2019


May be this #f16 was usedhttps://t.co/TiAR4jO1rN pic.twitter.com/xmQrIQfRGX
— Raj Dangar  (@raj_dangar) April 5, 2019 
 
Some calling it an international conspiracy.
 

Us won t say anyday that f16 shot by mig21 due to there reputation this is world politics boss #F16
— Mohit (@Mohit28458153) April 5, 2019
  While Pakistanis mockingly asked if India will allow an  SU-30 count?

@narendramodi @SushmaSwaraj @TimesNow @ashoswai
this time for India Will india allow to count its SU-30??#Pakistanis #F16 pic.twitter.com/FVdEytt8uJ
— Mani Arain  (@Peace_Needer) April 5, 2019
 
  Celebrating Paksitanis tweeted.

Final nail in the coffin.#F16 #DGISPR https://t.co/8maEVmqhZI
— Nouman Tahir (@NoumanT40345277) April 5, 2019  
So now we all know, the only thing Indian Air Force shot down on the 27th February was their own MI-17V5 helicopter. It wasn t their air defense, it was IAF.#F16 #Abhinandan #Pakistan
— Shahid Raza. (@schaheid) April 5, 2019
  
Couldn’t agree more! #F16 https://t.co/inh20bNraV
— Aamna Rafiq (@AamnaRafiq) April 5, 2019  
Indian Govt and Indian Media to its public after US confirms no #F16 was destroyed by IAF. pic.twitter.com/DBjhSF2uGN
— Farhan (@_SonOfMountains) April 5, 2019  
My city #Multan Well described the issue in this flex 
Be Professional 
Don’t b #Abhinandan 
So no F-16 shot down by India 

#abhinandan #F16 pic.twitter.com/cMUkKfVqEt
— Amna Fazail (@amnafazail45) April 5, 2019  
 
 
From claiming to kill 300 JeM militants,
to shooting down PAF #F16,
to advocating name of imaginary PAF pilot,
to making a loser like Abhinandan a national hero,
to finally US acknowledgement that no #F16 was shot down, we can truly understand the sorry state of our neighbor  pic.twitter.com/7d8mqdrSmE
— AhmAd IbrAhim (@AhmAdTipu7) April 5, 2019
 
By
Saadia Ali
 ",https://img.dunyanews.tv/news/2019/April/04-05-19/news_big_images/485665_14493332.jpg,pakistan
Government using cheap tactics to hide its own failures: Maryam Nawaz,"
LAHORE (Dunya News) – Maryam Nawaz, daughter of former prime minister and Pakistan Muslim League-Nawaz (PML-N) supremo Nawaz Sharif, on Friday strongly criticized the government after National Accountability Bureau (NAB) conducted an unsuccessful raid to arrest Leader of Opposition in Punjab Assembly Hamza Shahbaz.
Maryam Nawaz took to the twitter to slam the Pakistan Tehreek-e-Insaf (PTI) government saying, “The government was using cheap tactics to hide its own failures.”

— Maryam Nawaz Sharif (@MaryamNSharif) April 5, 2019
 
She said: “The government cannot hide their failures with these cheap tactics.”
She said the opposition leader in Punjab Assembly returned to the country leaving behind his ailing minor daughter.",https://img.dunyanews.tv/news/2019/April/04-05-19/news_big_images/485640_11929259.jpg,pakistan
Govt directs FIA to start operation against dollar hoarding,"
ISLAMABAD (Dunya News) – The Government has directed Federal Investigation Agency (FIA) to launch a full fledged operation against dollar hoarding, and speculative currency trade.
Minister for Information and Broadcasting Chaudhry Fawad Hussain in a tweet said the operation is being launched in coordination with State Bank and Ministry of Finance.

Government has directed FIA to launch a full fledged operation against Dollar hoarding, and speculative currency trade the operation is being launched in coordination with State Bank and ministry of Finance
— Ch Fawad Hussain (@fawadchaudhry) April 5, 2019 
The annoucement comes few hours after Finance Minister Asad Umar said that no further rupee devaluation is likely and rumours should not be spread as they damage the market.
Addressing a gathering at the Pakistan Stock Exchange through video link, the finance minister said economic stability is government’s foremost priority.
ALSO READ: Currency rates in Pakistan - 05 April 2019
He maintained that companies with large setups are present in Pakistan but they are only fulfilling the domestic needs. The collective value of Pakistan’s economy is $300 billion, he said.
The finance minister stated that we have to transform our laws for international investments. Economic stability requires practical steps and the incumbent government is working hard to achieve the goals, he added.
Asad Umar urged the industrialists to invest in the market and advised all to not waste money by buying dollars.",https://img.dunyanews.tv/news/2019/April/04-05-19/news_big_images/485638_63439834.jpg,pakistan
US envoy Zalmay Khalilzad calls on COAS Gen Qamar Bajwa ,"
RAWALPINDI (Dunya News) – US Special Representative for Afghan Reconciliation Zalmay Khalilzad on Friday called on Chief of Army Staff (COAS) General Qamar Javed Bajwa at General Headquarters in Rawalpindi. 
In a statement issued by the Inter-Services Public Relations (ISPR), matters pertaining to overall regional security situation with particular reference to the ongoing Afghan reconciliation process came under discussion during the meeting. 
The visiting dignitary appreciated Pakistan’s efforts towards peace process.",https://img.dunyanews.tv/news/2019/April/04-05-19/news_big_images/485635_81689991.jpg,pakistan
India runs away from talks with Pakistan on Kartarpur Corridor: FO,"
ISLAMABAD (Dunya News) – Foreign Office Spokesperson Dr Muhammad Faisal on Friday expressed regret over Indian step to run away from the dialogues on Kartarpur Corridor. 
Addressing weekly news briefing in Islamabad on Friday, he said that the US was selling anti-submarine helicopters to India who has been repeatedly violating Pakistani airspace, adding that Pakistan will have to prepare itself too. 
Dr Faisal went on to say that Pakistan wants to open Kartarpur Corridor as soon as possible but this is only possible when India sit at the table for dialogues. 
To a question, the spokesperson said that no link found between Moulana Masood Azhar and Pulwama incident, adding that the evidence of Indian involvement in Pakistan had already been handed over to New Delhi.
 ",https://img.dunyanews.tv/news/2019/April/04-05-19/news_big_images/485627_17175296.jpg,pakistan
Armed forces fully prepared to give befitting response to Indian misadventure: President,"
ISLAMABAD (Web Desk) – President Dr Arif Alvi on Friday said Pakistan’s Armed Forces were well prepared to give befitting response to any misadventure by India.
Addressing the Army officers undergoing training at the Command and Staff College, Quetta at Aiwan-e-Sadr, he said Pulwama attack was being used as a pretext by India to escalate tension.
The President stated that Pakistan would not tolerate any violation of its territorial integrity and reserves the right to self-defence. He underlined that Pakistan was a peaceful and sovereign country, desirous of having good relations with all its neighbours including India.
Dr Alvi lauded the role and sacrifices of armed forces, law enforcement agencies and civil administration in addressing the challenges of lawlessness and terrorism. He stated that despite facing many challenges, Pakistan was now heading in right direction, adding that the country was now more stable and strong than before and many opportunities are knocking at its door.
He went on to say that China-Pakistan Economic Corridor (CPEC) has the potential to change the fate of the region for better. He further said Balochistan would gain specifically from CPEC project and immense opportunities of employment would be created for its youth.
The President commended the role of Command and Staff College, Quetta in imparting quality and strategic training to officers of Pak Army and those from the allied countries.
He hoped that training received at this premier military institution would prove to be an asset for the trainee officers with the help of which they would be able to utilize their abilities and full potential in the service of the motherland.",https://img.dunyanews.tv/news/2019/April/04-05-19/news_big_images/485620_74007397.jpg,pakistan
"Govt not going anywhere, you are going to jail, PM Imran tells Asif Zardari","
JAMRUD (Dunya News) – Prime Minister Imran Khan on Friday while lashing out at former president and Pakistan Peoples’ Party (PPP) co-chairman Asif Ali Zardari said that the government was not going anywhere but you are going to land in jail.
Addressing a public gathering in Jamrud on Friday, he said that Pakistan is going through difficult economic time but it will be over soon, adding that during the tenure of Pakistan Peoples’ Party (PPP), Pakistan’s total debt was Rs6000 billion which soared to Rs30,000 billion during the tenure of Pakistan Muslim League-Nawaz (PML-N).
Imran Khan challenged the PPP co-chairman to hold demonstration in Islamabad for at least a week and said that a sit-in is only successful when you deliver the public’s narrative.
The prime minister said that the PML-N was expert in money laundering and stealing money.
Imran Khan said that Rs100 billion would be spent in tribal areas in next 10 years, aiding that interest free loan will also be provided to the youth.
While announcing supply of gas, water and electricity for Jamrud, the PM said development projects will be initiated in the tribal areas. “Torkham border will be opened round the clock,” Khan added.
On Thursday, addressing a public gathering in Garhi Khuda Baksh, former president Asif Ali Zardari said that time has come to send the Pakistan Tehreek-e-Insaf (PTI) government packing.
He said that if Prime Minister Imran Khan stayed in power, he would push the country 100 years back, adding that his party would soon topple the government.
The PPP co-chairman said that it has become difficult for the poor masses pay their electricity bills.
Zardari asked the people to be prepared for march towards Islamabad. “Be patient, we will announce a campaign soon to bring topple the government. We will not stage sit-in like them (PTI) and will continue sleeping on the roads till they resign.”
Criticizing the government’s policies and inflation, the former president said the prices of vegetables have doubled during the PTI government’s tenure.
“I had already said the PTI government’s main target is 18th government,” he added.
Later, addressing the gathering, PPP chairman Bilawal Bhutto Zardari also lashed out at PM Imran Khan and his government.
Bilawal said, ""the PTI government has done nothing with sincerity except lying."" He said PTI government launched inquiries through National Accountability Bureau (NAB) to scare PPP leaders, adding that NAB is exacting revenge instead of carrying accountability.
The PPP chairman said, ""The stories of Benami (fake accounts) are just stories and allegations."" Paying rich tribute to ZAB, Bilawal said today is the 40th martyrdom anniversary of Zulfikar Ali Bhutto.
He went on to say, ""They (PTI and Imran Khan) say Pakistan has become bankrupt due to the 18th amendment. The Benami Prime Minister does not know strong provinces are the sign of a strong federation."" Bilawal added they (federal government) does not want Sindh but wants to grab its gas, water and other resources.
 
 ",https://img.dunyanews.tv/news/2019/April/04-05-19/news_big_images/485614_55933073.jpg,pakistan
"Independent NAB works under constitution, law: Shahbaz Gill","
LAHORE (Dunya News) – Chief Minister of Punjab’s spokesman Shahbaz Gill on Friday said that National Accountability Bureau (NAB) is an independent department and doing its work under the constitution and law. 

Talking to Dunya News after NAB raided Shehbaz Sharif’s house, the spokesman said bails of Sharif family are always approved but leaders of other parties are not getting it. 

It is to be mentioned here that NAB conducted an unsuccessful raid at the Model Town residence of Hamza Shahbaz for alleged involvement in money laundering.
According to NAB, the team has evidence and arrest warrant against Hamza. The security guards stopped the team outside the house after which harsh words were exchanged.
Afterwards, the officials left without arresting anyone due to severe resistance by the guards.
NAB sources revealed that Hamza Shahbaz had declared property worth 2 crore in 2003 while his assets grew 2000 percent during the PML-N government. The opposition leader had illegally laundered 85 billions abroad, the sources told.

The officials claimed that they have already detained Sharif family‘s facilitators while more arrests are also likely.   ",https://img.dunyanews.tv/news/2019/April/04-05-19/news_big_images/485607_89200615.jpg,pakistan
NAB summons Shehbaz Sharif in money laundering case on April 9,"
LAHORE (Dunya News) – The National Accountability Bureau (NAB) Friday summoned Leader of the Opposition in the National Assembly (NA) and Pakistan Muslim League-Nawaz (PML-N) President Shehbaz Sharif on April 9 in money laundering case.
The anti-corruption watchdog directed Shehbaz Sharif in its notice to appear before the bureau with complete documents.
The NAB sources revealed that PML-N president will be inquired about his assets and sources of income. Furthermore, the NAB has also asked Shehbaz Sharif to give details of the property that he inherited from his father, Muhammad Sharif.
Let it be known that the National Accountability Bureau Friday conducted an unsuccessful raid to arrest Leader of the Opposition in the Punjab Assembly Hamza Shahbaz – Shehbaz Sharif’s son – at his Model Town residence for involvement in money laundering.
According to the NAB, the bureau has evidence and arrest warrant against Hamza. The security guards stopped the team outside the house after which harsh words were exchanged.
Afterwards, the officials left without arresting anyone due to severe resistance by the guards. ",,pakistan
Bilawal Bhutto condemns NAB raid at Shehbaz Sharif's house,"
KARACHI (Dunya News) –Pakistan Peoples Party (PPP) chairman Bilawal Bhutto Zardari on Friday has condemned National Accountability Bureau’s (NAB) raid at Pakistan Muslim League-Nawaz (PML-N) president Shehbaz Sharif’s Model Town house without any warrant.

Bilawal Bhutto took to Twitter and posted, “If leader of the opposition @CMShehbaz’s home has been raided by NAB without a warrant then it is highly condemnable.”

He said PPP doesn’t oppose accountability but political vendettas.

If leader of the opposition @CMShehbaz’s home has been raided by NAB without a warrant then it is highly condemnable. PPP doesn’t oppose accountability but we oppose political vendettas in the name of accountability. Yet another authoritarian & undemocratic move by the government
— BilawalBhuttoZardari (@BBhuttoZardari) April 5, 2019 
The PPP chief further criticized Pakistan Tehreek-e-Insaf (PTI) and said, “Yet another authoritarian and undemocratic move by the government.”

It is to be mentioned here that NAB conducted an unsuccessful raid at the Model Town residence of Hamza Shahbaz for involvement in money laundering.

According to the anti-corruption watchdog, the team has evidence and arrest warrant against Hamza. The security guards stopped the team outside the house after which harsh words were exchanged.

Afterwards, the officials left without arresting anyone due to severe resistance by the guards.

NAB sources revealed that Hamza Shahbaz had declared property worth 2 crore in 2003 while his assets grew 2000 percent during the PML-N government. The opposition leader had illegally laundered 85 billions abroad, the sources told.
The officials claimed that they have already detained Sharif family‘s facilitators while more arrests are also likely.  ",,pakistan
NAB violated court's decision by raiding residence: Hamza Shahbaz,"
LAHORE (Dunya News) – Leader of the Opposition in the Punjab Assembly Hamza Shahbaz said the National Accountability Bureau (NAB) violated court’s decision by raiding his Model Town residence on Friday. 
The PML-N leader talked to media and condemned the operation. He said the way the NAB raided our house made us feel that we are terrorists. I always appear whenever the court and the NAB summon.
The NAB team has gone against the verdict of the Lahore High Court (LHC) by coming to arrest me like a ‘superman’, he said.
The court had given orders to notify ten days before arrest, and the incursion is contempt of its decision, he said asking what the need of taking such a step was.
The PML-N leader also bashed Prime Minister Imran Khan and Pakistan Tehreek-e-Insaf (PTI) government. The court had allowed me to travel abroad for the treatment of my ailing daughter and Imran Khan did politics on her health, he added.
He stated that Pakistan’s economy is crumbling and people are suffering. Peshawar metro is still incomplete even after spending one billion rupees, he said.
“Nothing can be proven against Nawaz Sharif and Shehbaz Sharif,” Hamza affirmed.
We are standing with the nation, he continued, lies and fake promises of the incumbent government of Pakistan Tehreek-e-Insaf (PTI) will soon dissolve it.
Let it be known that the National Accountability Bureau conducted an unsuccessful raid at the Model Town residence of Hamza Shahbaz for involvement in money laundering.
According to NAB, the team has evidence and arrest warrant against Hamza. The security guards stopped the team outside the house after which harsh words were exchanged.
Afterwards, the officials left without arresting anyone due to severe resistance by the guards.",,pakistan
Time for India to speak truth about false claims: DG ISPR,"
RAWALPINDI (Dunya News) – Few hours after a top news magazine exposed Indian lie that IAF shot down PAF’s F-16 fighter jet on 27th February, Director General of the Inter Services Public Relations (ISPR) Major General Asif Ghafoor stated that it is time for India to speak truth about false claims and actual losses on their side including the second aircraft shot down by Pakistan.
The Foreign Policy magazine, citing two unnamed senior US defence officials with direct knowledge of situation, reported that recent American count of Pakistan’s F-16 fighter jets found none missing.
The magazine reported that this information ""directly contradict[s] the account of Indian Air Force officials"" -- that an Indian pilot, Wing Commander Abhinandan Varthaman, brought down one of the US-made jets during a dogfight.
""One of the senior US defense officials...said that Pakistan invited the United States to physically count its F-16 planes after the incident as part of an end-user agreement signed when the foreign military sale was finalised,"" the magazine said.
READ MORE: US count exposes India’s claim of shooting down Pakistani F-16: Foreign Policy
In his tweet, the DG ISPR said: “Allah be praised, truth always prevails.”
“India needs introspection especially over atrocities in IoK. Region needs peace, progress and prosperity,” he added.

Allah be praised, truth always prevails. Time for India to speak truth about false claims & actual losses on their side including the second aircraft shot down by Pakistan. India needs introspection especially over atrocities in IOK. Region needs peace, progress & prosperity. https://t.co/5eCsQDSDYD
— Maj Gen Asif Ghafoor (@OfficialDGISPR) April 5, 2019 
During the aerial battle, Indian pilot Abhinandan Varthaman took a missile hit and ejected safely into Pakistani territory. He was captured by the Pakistani army and released days later in an effort to de-escalate the crisis.",https://img.dunyanews.tv/news/2019/April/04-05-19/news_big_images/485598_11341303.jpg,pakistan
Shehbaz Sharif felicitates Turkish president on victory in local elections,"
LAHORE (Dunya News) – Opposition Leader in National Assembly (NA) Shehbaz Sharif on Friday telephoned Turkish President Recep Tayyip Erdogan and congratulated him over victory in local elections.

During the conversation, Shehbaz Sharif said to Erdogan that his win is a proof of love and trust he has in the hearts of Turkish people.

He further thanked the president for playing role in de-escalating tensions between Pakistan and India.
Meanwhile, Recep Tayyip Erdogan inquired about the health of former Prime Minister (PM) Nawaz Sharif and prayed for his early recovery.
He also pledged to continue to take Pakistan-Turkey relations to the next level for the development of both states. ",,pakistan
