title,news,img-url,category,summery,opinion
"Pakistan, China entering a new stage of CPEC, says Chinese envoy","
ISLAMABAD: Chinese Ambassador Yao Jing has said Pakistan and China are entering a ‘new stage of China-Pakistan Economic Corridor (CPEC)’ under which the areas of cooperation would be expanded.
He was addressing the participants during a book launching ceremony. Titled ‘CPEC – A Precursor to Regional Economic Growth and Stability’, the book is published by Strategic Vision Institute.
Yao Jing said the upcoming visit of Prime Minister Imran Khan to China would take the relations between the two countries into a ‘new era’ of development and prosperity.

 Read:Chinese support pivotal for Pakistan’s economic development: Asad Umar
He said the leadership-level discussion on the next phase of CPEC would take place during Prime Minister Imran Khan’s visit to China, where he would attend the Belt and Road Initiative (BRI) Forum next week.
The book contained chapters written by both Pakistani and Chinese scholars. It highlights the opportunities and potential of the economic corridor, addresses the misperceptions, and brings back the focus of the discourse from CPEC’s geostrategic and political implications to economic and development aspects.
“The new phase is based on a stronger private sector involvement, including the activation of special economic zones, social sector cooperation, and the involvement of third country partners,” the envoy stated. “An agreement on social sector cooperation would be signed during PM Khan’s upcoming visit to China.”
He said the social sector cooperation would cover six areas including education, health, agriculture, water and irrigation, poverty alleviation, and human resource development. “As many as 27 projects are being initiated with the Chinese grant of $1 billion.”
Ambassador Jing said that both countries had agreed to involve other countries in the mega-project, adding that all countries are welcome to join the development of Pakistan’s economy.

Comments comments  ",https://arynews.tv/wp-content/uploads/2019/04/China-1-750x369.jpg,PAKISTAN,"Read:Chinese support pivotal for Pakistan’s economic development: Asad Umar
He said the leadership-level discussion on the next phase of CPEC would take place during Prime Minister Imran Khan’s visit to China, where he would attend the Belt and Road Initiative (BRI) Forum next week.",positive
IHC to hear plea challenging Zardari’s acquittal in Polo Ground case today,"
ISLAMABAD: The Islamabad High Court (IHC) will take up the National Accountability Bureau’s plea challenging former president Asif Ali Zardari’s acquittal in Polo Ground and Ursus Tractors corruption references, on Thursday (today).
The IHC after three years had fixed two out of four NAB’s pleas against Zardari’s acquittal by Islamabad’s accountability court on Wednesday.
A two member bench of the Islamabad High Court presided over by Chief Justice of the IHC Athar Minallah and Justice Mian Gul Hasan Aurangzeb will hear the pleas

 Zardari was acquitted on May 28, 2014 in the Polo Ground reference.
Read more:Zardari acquitted in Polo Ground graft case
The reference filed in 2000 alleged that the polo ground at the Prime Minister House was constructed during the second tenure of former prime minister Benazir Bhutto on the verbal orders of her husband Asif Ali Zardari to CDA chairmen Saeed Mehdi and Shafi Sehwani at an estimated cost of Rs52.29 million.
The NAB in the reference nominated the two former Capital Development Authority (CDA) chairmen as the principal accused.
It was alleged that both the former CDA chiefs got sheds constructed and carried out landscaping in a portion of the Prime Minister House and converted it into a polo ground.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/01/Asif-Zardari-750x369.jpg,PAKISTAN,"
ISLAMABAD: The Islamabad High Court (IHC) will take up the National Accountability Bureau’s plea challenging former president Asif Ali Zardari’s acquittal in Polo Ground and Ursus Tractors corruption references, on Thursday (today).",positive
14 passengers shot dead after being offloaded from buses in Balochistan’s Omara,"
QUETTA: At least 14 passengers were offloaded from buses and shot dead on the Makran Coastal Highway in Balochistan’s Omara locality early on Thursday.
According to Levies sources, unidentified armed men intercepted buses travelling between Karachi and Gwadar near the Buzi Top area.
The assailants checked the identity cards of passengers and offloaded 14 of them. They then opened fire, killing them all. The deceased were shifted to Ormara Hospital.

 A heavy contingent of Levies reached the site of the incident and cordoned it off before launching an investigation.
Earlier in 2015, armed men had kidnapped about two dozen people from two passenger coaches in the mountainous area of Khad Kocha and shot dead at least 19 of them.
Read Also:20 dead, several injured in blast at Quetta’s Hazarganji
Last week, at least 20 people, security personnel and children among them, were killed and 48 others wounded in a suicide attack at the Hazarganji fruit and vegetable market in Quetta last Friday.
The deceased included eight members of the Hazara community and soldier of the paramilitary Frontier Corps (FC).
Comments comments  ",https://arynews.tv/wp-content/uploads/2017/08/breaking.jpg,PAKISTAN,"Read Also:20 dead, several injured in blast at Quetta’s Hazarganji
Last week, at least 20 people, security personnel and children among them, were killed and 48 others wounded in a suicide attack at the Hazarganji fruit and vegetable market in Quetta last Friday.",negative
"PM expresses sadness over loss of lives, crop damage owing to rains","
ISLAMABAD: Prime Minster Imran Khan on Thursday expressed sadness over the loss of lives and large scale damage to standing crops owing to widespread rains across the country.
According to the PM’s spokesperson Nadeem Afzal Chan, the prime minister is well aware of the damage the recent rainfall has caused to wheat and other crops and that the government equally shared the grief of the people affected by the rains.
He said the relevant government departments have been directed to take measures in this regard.

 It is noteworthy that the National Disaster Management Authority (NDMA) in a report had said at least 49 people were killed and 176 others injured in rain-related incidents. It said floods caused by the rains wreaked havoc across the country.
According to the report, 15 people were killed in Punjab, 14 in Khyer Pakhtunkhwa, 11 in Balochistan and five in Sindh. At least 52 houses were damaged in Balochistan alone.
Apart from the human and property damages, the showers flattened standing wheat and other crops across the country.
117 houses including 31 in Punjab, 52 in Balochistan, and 34 in KP were damaged, according to the NADMA.
Heavy rain accompanied by gusty winds lashed different parts of the country, wreaking havoc with the wheat and other crops as mango trees were uprooted.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/03/imran1-1-750x369.jpg,PAKISTAN,"According to the PM’s spokesperson Nadeem Afzal Chan, the prime minister is well aware of the damage the recent rainfall has caused to wheat and other crops and that the government equally shared the grief of the people affected by the rains.",negative
Voting underway to elect Karachi deputy mayor,"
KARACHI: The polling began on Thursday morning to elect Karachi’s new deputy mayor.
The polling began at 9am and will continue till 5pm without any break. Deputy Commissioner (South) Syed Salahuddin has been named returning officer to supervise the election.
The office of deputy mayor fell vacant after the Election Commission of Pakistan declared Arshad Vohra as disqualified last month.

 The polling to the deputy mayor’s slot is being held at the City Council hall of the Karachi Metropolitan Corporation’s old building.
The Muttahida Qaumi Movement-Pakistan’s (MQM-P) Syed Arshad Hussain and Pakistan People’s Party’s (PPP) Karamullah Waqasi are in the run for the slot.
The work will remain suspended at the KMC office on the polling day.
The Election Commission of Pakistan (ECP) had disqualified Arshad Vohra as deputy mayor of Karachi in March.
Read Also:ECP disqualifies Karachi deputy mayor Arshad Vohra
The decision came on a petition filed by the Muttahida Qaumi Movement-Pakistan (MQM-P) seeking to de-seat Vohra for switching loyalty to the Mustafa Kamal-led party.
Vohra was elected as chairman of Union Council-49 of Karachi’s central district in the local council elections.
A five-member bench headed by ECP chief Justice (retd) Sardar Raza heard and decided the petition.
The then MQM-P convener Farooq Sattar had gone to the electoral body seeking disqualification of Vohra under the Local Government Act 2013.
He contended that Vohra elected as deputy mayor on MQM-P ticket and he did not relinquish his office after changing loyalty to PSP, which is sheer violation of the constitutional laws. He pleaded the ECP to issue a notification of Vohra’s disqualification.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/04/KMC-750x369.jpg,PAKISTAN,The office of deputy mayor fell vacant after the Election Commission of Pakistan declared Arshad Vohra as disqualified last month.,neutral
Khawaja brothers’ judicial remand expires today,"
LAHORE: An accountability court will hear the Paragon Housing Society scam case against Pakistan Muslim League-Nawaz (PML-N) leader Khawaja Saad Rafique and his brother Khawaja Salman Rafique today.
The incarcerated Khawaja brothers will be produced before the accountability judge on completion of their 14-day judicial remand.
The National Accountability Bureau (NAB) will also submit a progress report on investigation against the PML-N leaders today.

 The National Accountability Bureau (NAB) had arrested the Khawaja brothers from Lahore High Court (LHC) premises on last year in December when their request for an extension in pre-arrest bail in the case was rejected.
According to NAB, Khawaja Saad Rafique in collusion with his wife Ghazala Saad Rafique Butt, brother Salman Rafique, Qaiser Amin Butt and Nadeem Zia had launched a housing project named Air Avenue, which was later renamed to Paragon City (Pvt) Ltd.
Read Also:Court extends physical remand of Khawaja brothers till April 18
The accused allegedly connived with Nadeem Zia and Qaiser Amin Butt to defraud several members of the society and misappropriated project funds for personal gains. The accused collected huge amounts in flagrant violation of directions from the Lahore Development Authority (LDA).
Besides, Saad Rafique acquired 40 kanals of land in his and his brother’s name, which he used to extended the project illegally and sold commercial plots worth billions of rupees.
Comments comments  ",https://arynews.tv/wp-content/uploads/2018/11/Saad-750x369.jpg,PAKISTAN,The National Accountability Bureau (NAB) had arrested the Khawaja brothers from Lahore High Court (LHC) premises on last year in December when their request for an extension in pre-arrest bail in the case was rejected.,positive
"SC to hear NAB appeals against bail of Shehbaz, Fawad today","
ISLAMABAD: The Supreme Court will take up today appeals of the National Accountability Bureau (NAB) seeking cancellation of the bail of Opposition Leader in the National Assembly Shehbaz Sharif and Fawad Hassan Fawad.
A three-member bench of the apex court, headed by Justice Sheikh Azmat Saeed and comprising Justice Faisal Arab and Justice Ijaz ul Ahsan, will hear the appeals.
Earlier, on April 9, the apex court had adjourned the hearing at a request by NAB deputy prosecutor general Imranul Haq.

 He requested the bench to adjourn the hearing as he had to visit a doctor. Granting his request, the court adjourned the case.
The anti-corruption watchdog had approached the apex court challenging the bail granted to Shehbaz in the Ashiana housing society scam and Ramzan Sugar Mills’ cases, while Fawad Hassan Fawad’s bail in the Ashiana housing society scam.
Read Also:NAB sends questionnaire to Shehbaz’s wife, daughters
The NAB petitions stated that the Lahore High Court (LHC) has not reviewed the facts and regulations in the Ashiana Iqbal housing scam case into right aspects.
The top court had already defined standard for the provision of bail in NAB cases, adding that the high court’s verdict went contrary with the outlined standards set up by the judiciary.
Shehbaz Sharif and Fawad Hassan Fawad are key accused in the case. Bail to the persons must be suspended after nullifying the LHC’s verdict, the petition pleaded to the court.
On February 14, the Lahore High Court had approved the bail plea of Shehbaz Sharif, ordering his release.
A two-judge bench comprising Justice Malik Shahzad and Justice Mirza Waqas had given the verdict while hearing the bail petitions.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/03/Shabaz-Sharif-750x369.jpg,PAKISTAN,A two-judge bench comprising Justice Malik Shahzad and Justice Mirza Waqas had given the verdict while hearing the bail petitions.,neutral
Economic condition was tough when govt took power: Asad Umar,"
ISLAMABAD: Finance Minister Asad Umar has termed an agreement with the International Monetary Fund (IMF) a compulsion, ARY News reported Wednesday.
Speaking at a gathering here, he said chances of discount rate were higher had Pakistan approached the IMF earlier. Umar said economic condition of the country was bleak when the new government took power.
However, the minister said the current year and 2020 would be good years for investors, and the business community.

 ﻿
The National Accountability Bureau law concerning private sector needs to be amended, he added. He said: “We need to free business community of fear of the NAB.” The minister said the government was also looking issue of property rates in the country.
Pakistan must also now introduce Euro Bonds, he said.
Asad Umar amnesty scheme was not aimed at collecting money, adding that it didn’t matter whether it took too much to decide on the scheme. The minister economy would be changed once taxpayers would be added to the tax net through documentation.
Finance Minister Asad Umar on Monday had said that Pakistan and the International Monetary Fund had reached a consensus over the financial package. The IMF, the same day, had termed talks with Pakistani officials held in Washington last week as positive.
The IMF Pakistan office further said that a delegation of the IMF will visit Pakistan in the end of the following month. It said the visit will be paid on request of the Pakistan government.
The IMF said both the stakeholders would further discuss the financial package.
Comments comments  ",https://arynews.tv/wp-content/uploads/2019/04/asad-new-750x369.jpg,PAKISTAN,He said: “We need to free business community of fear of the NAB.” The minister said the government was also looking issue of property rates in the country.,positive
Another case of administering wrong injection at Darul Sehat surfaced,"
KARACHI: After Nishwa, another case of administering wrong injection at Darul Sehat Hospital surfaced on Wednesday, ARY News reported.
In a video message, a citizen, Faisal said that her nine-month-old baby girl, Zainab, was died of administering a wrong injection at Darul Sehat Hospital, last year in September. He demanded of the government and the concerned authorities to provide him justice.
Faisal alleged that her daughter was died due to the negligence and irresponsibility of the doctors at the hospital. The father said that he had visited the hospital to get her daughter vaccinated but the doctors administered her a wrong injection.

 Read More: FIR filed against Darul Sehat Hospital for administering wrong injection to girl 
Faisal said that her daughter was quite well but after the vaccination her condition turned critical. Talking about the behavior of the hospital’s administration, the father said that when her child’s condition was turning critical, he pleaded to doctors to give her treatment. In that emergency situation, the hospital’s administration asked him to submit Rs0.35 million ahead of treatment.
Faisal said that when he told administration that he was a poor man and could not arrange such amount of money, he, along with his ailing daughter forcefully sent to Jinnah Postgraduate Medical Centre (JPMC). Upon arrival doctors told him that his daughter’s condition was critical and they could not save her life. The father said that he was on his way to another hospital when her daughter took her last breath.
Comments comments  ",,PAKISTAN,"Talking about the behavior of the hospital’s administration, the father said that when her child’s condition was turning critical, he pleaded to doctors to give her treatment.",neutral
"Pakistan, China entering a new stage of CPEC, says Chinese envoy","
ISLAMABAD: Chinese Ambassador Yao Jing has said Pakistan and China are entering a ‘new stage of China-Pakistan Economic Corridor (CPEC)’ under which the areas of cooperation would be expanded.
He was addressing the participants during a book launching ceremony. Titled ‘CPEC – A Precursor to Regional Economic Growth and Stability’, the book is published by Strategic Vision Institute.
Yao Jing said the upcoming visit of Prime Minister Imran Khan to China would take the relations between the two countries into a ‘new era’ of development and prosperity.

 Read:Chinese support pivotal for Pakistan’s economic development: Asad Umar
He said the leadership-level discussion on the next phase of CPEC would take place during Prime Minister Imran Khan’s visit to China, where he would attend the Belt and Road Initiative (BRI) Forum next week.
The book contained chapters written by both Pakistani and Chinese scholars. It highlights the opportunities and potential of the economic corridor, addresses the misperceptions, and brings back the focus of the discourse from CPEC’s geostrategic and political implications to economic and development aspects.
“The new phase is based on a stronger private sector involvement, including the activation of special economic zones, social sector cooperation, and the involvement of third country partners,” the envoy stated. “An agreement on social sector cooperation would be signed during PM Khan’s upcoming visit to China.”
He said the social sector cooperation would cover six areas including education, health, agriculture, water and irrigation, poverty alleviation, and human resource development. “As many as 27 projects are being initiated with the Chinese grant of $1 billion.”
Ambassador Jing said that both countries had agreed to involve other countries in the mega-project, adding that all countries are welcome to join the development of Pakistan’s economy.

Comments comments  ",https://arynews.tv/wp-content/uploads/2019/04/China-1-750x369.jpg,PAKISTAN,"Read:Chinese support pivotal for Pakistan’s economic development: Asad Umar
He said the leadership-level discussion on the next phase of CPEC would take place during Prime Minister Imran Khan’s visit to China, where he would attend the Belt and Road Initiative (BRI) Forum next week.",positive
