title,news,img-url,category,summery,opinion
"Digitalization critical to ensuring efficiency, transparency in official business: PM","
ISLAMABAD (Dunya News) – Prime Minister Imran Khan on Wednesday said digitalization was critical to ensuring efficiency and transparency in conduct of official businesses.
Presiding over a meeting on digitalization of the government processes and how the latest information technology (IT) solutions such as blockchain could help ensuring efficiency, transparency, eliminating red-tapism and improving overall service delivery in line with the vision of the government, he said the IT solution would help addressing some of the major issues that had hampered steady growth of economy in the past.
The prime minister said that the digitalization will also create much needed synergies among the government organizations for ensuring frictionless service delivery and improving ease of doing business in the country.
A team of Pakistani IT experts from United Arab Emirates, invited by Special Assistant to Prime Minister Sayed Zulfiqar Abbas Bukhari, briefed the prime minister on way forward in digitalization of various government processes.
The discussion encompassed transparency and efficiency in government processes using emerging technologies like blockchain.
Among the proposed use-cases, the briefing focused on a next generation trade platform for Pakistan that will usher Pakistan into the next era of trade efficiency with its trade partners.",,pakistan,The prime minister said that the digitalization will also create much needed synergies among the government organizations for ensuring frictionless service delivery and improving ease of doing business in the country.,neutral
Met office forecasts more rains in the country,"
 LAHORE (Dunya News) -  Pakistan Meteorological Department on Wednesday forecasted  that there would be more rains in Islamabad, upper Punjab and KPK.
More rain-thunderstorm with gusty winds is expected at scattered places in upper Punjab (Rawalpindi, Lahore, Gujranwala, Sargodha, Faisalabad, Sahiwal divisions), upper Khyber Pakhtunkhwa (Malakand, Hazara, Mardan, Kohat, Peshawar divisions), Islamabad, Kashmir and Gilgit Baltistan, while at isolated places in Quetta and Zhob divisions. Dry weather is expected elsewhere.
On Thursday mainly dry weather is expected in most parts, while hot in plain areas of the country. However, more rain-thunderstorm with gusty winds is expected at isolated places in Gilgit Baltistan, Kashmir and adjoining hilly areas.
There could be land sliding in Malakand, Hazara division, Gilgit and Kashmir.
The farmers are advised to take necessary measures in context of the current forecast.
 ",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487462_17988378.jpg,pakistan,"On Thursday mainly dry weather is expected in most parts, while hot in plain areas of the country.",neutral
PM directs K-Electric to reduce time period for new connections,"
ISLAMABAD (APP) – Prime Minister Imran Khan on Wednesday directed K-Electric to reduce time period of providing new electricity connections to one month. 
The prime minister said this while chairing a meeting to review progress on ‘Ease of Doing Business Strategy 2018-21’. The meeting was held at PM Office in which Chairman Board of Investment (BOI) Haroon Sharif briefed the prime minister about progress, made so far in that regard.
The prime minister was briefed on automation of electricity connection process by K-Electric, making it easier by shifting it to online system where customer could track their applications.
The prime minister was informed Securities and Exchange Commission of Pakistan (SECP) had been integrated with Punjab and Sindh business registration portals.
The company could be registered in one day with SECP on its online platform.
He was apprised that Lahore Development Authority (LDA) had started its one-window operation with availability of all relevant departments for the issuance of construction permits. Similarly, time period has also been reduced in Karachi significantly in same regard.
The meeting was informed that property registration process in Punjab has completely been computerized.
The chairman further briefed the prime minister about online payment collection process of federal and provincial taxes, contributions and duties.
He also briefed on integration of key departments with Web Based One Customs system (WeBOC), an online platform of Pakistan Customs to help importers and exporters, saving the time and money.",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487461_78714378.jpg,pakistan,"He also briefed on integration of key departments with Web Based One Customs system (WeBOC), an online platform of Pakistan Customs to help importers and exporters, saving the time and money.",neutral
CM Buzdar reviews provincial development strategy 2023,"
LAHORE (APP) – Punjab Chief Minister (CM) Sardar Usman Buzdar on Wednesday approved the draft of provincial development strategy 2023 which would now be presented before the provincial cabinet. 
He was presiding over a high-level meeting at office of Planning and Development (P&D) to review provincial development strategy 2023 and progress on provincial annual development programme (ADP) 2018-19.
Addressing the meeting, the CM said that a composite development strategy had been devised to promote the provincial economy on the durable lines. The growth rate would be increased and investment would be promoted in collaboration with the private sector, he added.
“We want to rectify the geographical imbalance of the past governments with regard to development and the goal of balanced geographical development would be achieved through a comprehensive development strategy,” he maintained.
He said that solid steps would be taken to increase the provincial resources so that people could be provided with more facilities.
He said that more resources would be allocated for the provision of education, healthcare, clean drinking water and other facilities.
Sardar Usman Buzdar said that the draft development strategy had been devised with the utmost care, hard work and all the stakeholders had also been consulted. The policies and governmental steps would help to alleviate poverty to improve the quality of life of people, he asserted.
Secretary P&D gave a briefing about the important points of development strategy 2023.
The CM expressed displeasure over the failure of some departments in the timely utilization of development funds released for different schemes during the current financial year.
He said that timely completion of public welfare schemes was essential and directed to ensure timely utilization of funds for public welfare schemes.
Delay in the utilization of development funds should be avoided, he said and added that the funds released to different departments should be properly utilized on public welfare schemes.
Provincial ministers Raja Basharat, Makhdoom Hashim Jawan Bakht, Malik Nauman Ahmad Langhrial, Yasir Humayun, and others attended the meeting.",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487460_63350569.jpg,pakistan,He said that solid steps would be taken to increase the provincial resources so that people could be provided with more facilities.,neutral
"PML-N, PPP join hands against Punjab government","
 LAHORE (Dunya News) – Two major  political parties in Punjab Assembly, PPP and PML-N have decided to resist the unconstitutional and unparliamentary steps taken by PTI led Punjab governmet.
The opposition parties in Punjab Assembly threatened to resign from committees over government’s denial to make Hamza Shehbaz chairman PAC.
As per details, PPP and PML-N leadership met at Punjab Assembly to deliberate on the current situation in the province.
According to Dunya News sources, the opposition threatened to boycott and resign from the committees over government s unconstitutional steps.
The leadership of PPP and PML-N also censured the federal government and said two viceroys are sitting in Punjab and province is being run from center.
They further said that the working of parliament is being ruined and they would not allow running of state affairs under ‘Imrani rule’.
 ",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487458_95477949.jpg,pakistan,The leadership of PPP and PML-N also censured the federal government and said two viceroys are sitting in Punjab and province is being run from center.,neutral
Ashiana Housing case: NAB’s lawyer recuses himself from SC hearing,"
ISLAMABAD (Dunya News) – The National Accountabiliy Bureau (NAB) attorney Naeem Bukhari recused himself from appearing on April 18 in the Supreme Court (SC) of Pakistan on bail cancellation appeal of Pakistan Muslim League-Nawaz (PML-N) leaders Shahbaz Sharif and Fawaz Chaudhry in Ashiana Housing Scheme reference.
Advocate stressed that he cannot attend the hearing due to medical examination. He said that NAB has accepted his request not to appear in the court. He added that he is not charging NAB anything for this case.
In a press release, NAB Rawalpindi stated that they have hired the services of advocate Naeem Bukhari to plead the cases against leaders of the opposition Shahbaz Sharif, Fawad Hassan Chuahdry and Ahad Cheema.
NAB’s prosecution department will also assist Naeem Bukhari in the Ashiana Housing Scheme reference.
Naeem Bukhari had fought the Panama Papers reference against former premier Nawaz Sharif. He will also help the NAB against principal secretary of former premier and former Director General Lahore Development Authority (LDA) Ahad Cheema.
NAB’s petition on the bail cancellation of Shahbaz Sharif and Fawad Chaudhry is scheduled on April 18.
Naeem Bukhari requested the court to schedule the hearing after April 22.",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487453_91897907.jpg,pakistan,"
ISLAMABAD (Dunya News) – The National Accountabiliy Bureau (NAB) attorney Naeem Bukhari recused himself from appearing on April 18 in the Supreme Court (SC) of Pakistan on bail cancellation appeal of Pakistan Muslim League-Nawaz (PML-N) leaders Shahbaz Sharif and Fawaz Chaudhry in Ashiana Housing Scheme reference.",neutral
Corruption is the root cause of all evils: NAB chairman,"
LAHORE (Dunya News) – National Accountability Bureau (NAB) Chairman Justice (r) Javed Iqbal on Wednesday said that no one would be made Double Shah now and no one can influence anti-graft watchdog’s investigation. 
Addressing a ceremony after distributing Rs730 million among the victims of a housing society on Ferozpur Road, he said that the corruption is root cause of all evils, adding that the anti-graft agency has become an active organization of anti-corruption. 
The NAB chairman went on to say that the ratio of criminals being awarded sentence by the trial court over Bureau’s cases has reached 70 percent. 
“A sum of Rs303 billion have been deposited in the national exchequer by the anti-graft watchdog since its formation,” he said. 
Justice (r) Javed Iqbal said: “Corruption references worth Rs900 billions are being heard by the courts. The NAB is the first chairman of SAARC Anti-Corruption.”",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487450_82931311.jpg,pakistan,"
LAHORE (Dunya News) – National Accountability Bureau (NAB) Chairman Justice (r) Javed Iqbal on Wednesday said that no one would be made Double Shah now and no one can influence anti-graft watchdog’s investigation.",neutral
PTA challenges IHC verdict in Supreme Court,"
ISLAMABAD (Dunya News) – The Supreme Court (SC) of Pakistan issued a legal notice to attorney general (AG) of Pakistan Telecommunication Authority (PTA) over their appeal against the Islamabad High Court’s (IHC) decision on not approving the suspension of unregistered cellular licenses.
The IHC ruled the government’s action of suspending the unregistered mobile phones on the pretext of security measures as illegal.
A three-member bench headed by Justice Azmat Saeed heard the PTA’s appeal.
The court remarked that cellular devices are also used in the terrorist activities, therefore the security measures should also be considered in this regard.
Next hearing is scheduled for April 26.
 ",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487446_79705554.jpg,pakistan,"
ISLAMABAD (Dunya News) – The Supreme Court (SC) of Pakistan issued a legal notice to attorney general (AG) of Pakistan Telecommunication Authority (PTA) over their appeal against the Islamabad High Court’s (IHC) decision on not approving the suspension of unregistered cellular licenses.",neutral
Contradictions in LHC’ judgment in school fee case: SC,"
ISLAMABAD (Dunya News) -  Justice Ejaz ul Ahsan remarked in a case pertaining to increase in fee by private schools that there were contradictions in the judgment of LHC . The audit report says schools are gaining a heavy profit.
The SC judge remarked that the judgment of LHC is contradictory as one sentence says fee can be increased while another says it can’t be increased. He said if schools want a 5% increase then they must submit logic behind this increase.
The lawyer of private schools said the gas price would increase by 80% till 2020 to which Justice Ejaz said it has nothing to do with increment of school fee.
CJP Asif Saeed Khosa remarked on the occasion that if price controlling of other goods is logical then it must apply to the fee of lawyers.
The top court adjourned the hearing of the case till Thursday.
 ",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487445_15278506.jpg,pakistan,The lawyer of private schools said the gas price would increase by 80% till 2020 to which Justice Ejaz said it has nothing to do with increment of school fee.,neutral
Job creation important target of the government: Asad Umar ,"
ISLAMABAD (Dunya News) – Finance Minister Asad Umar on Wednesday said that the creation of job opportunities is an important target of the government.
While addressing at inaugural ceremony of Naya Pakistan housing Program, he said that the government was working hard to make   Naya Pakistan Housing a success story. They were enthusiastic about making 5 million houses a biggest project of history.
Naya Pakistan is Imran Kah’s vision and he is laying foundation of Naya Pakistan.He further expressed that 40 other industries would get benefit from Naya Pakistan housing scheme.
Asad said an easy loan scheme for low income persons would be introduced. Those who couldn’t do anything for public in 70 years are in pain now, he added.
Some elements don’t want to see Pakistan progressing, said the Finance Minister.
Prime Minister Imran Khan launched landmark Naya Pakistan Apna Ghar Housing Scheme on Wednesday.
In the first phase, one hundred and thirty five thousand residential units will be constructed.
Twenty five thousand apartments will be constructed for government employees in the Federal Capital and one hundred ten thousand apartments will be constructed in Balochistan for fishermen of Gwadar.
The mega scheme will help generate many job opportunities, while several foreign companies have also evinced great interest in the housing scheme.

 ",https://img.dunyanews.tv/news/2019/April/04-17-19/news_big_images/487439_47146896.jpg,pakistan,"While addressing at inaugural ceremony of Naya Pakistan housing Program, he said that the government was working hard to make   Naya Pakistan Housing a success story.",neutral
